LSAT,UGPA,amerind,asian,black,hisp,mexican,other,puerto,white,gender,ZFYA
40,3.8,0,0,0,0,0,0,0,1,0,0.64
39,3.4,0,0,0,0,0,0,0,1,0,0.4
33,3.9,0,0,0,0,0,0,0,1,0,0.59
40,3.6,0,0,0,0,0,0,0,1,0,0.55
38,3.8,0,0,0,0,0,0,0,1,0,0.55
41,3.3,0,0,0,0,0,0,0,1,1,0.64
40,3.1,0,0,0,0,0,0,0,1,0,1.08
38,3.3,0,1,0,0,0,0,0,0,1,-0.02
40,3.2,0,0,0,0,0,0,0,1,1,1.89
32,3.4,0,0,0,0,0,0,0,1,0,-0.17
41,3.4,0,0,0,0,0,0,0,1,1,0.17
37,3.5,0,0,0,0,0,0,0,1,1,-0.13
41,3.3,0,0,0,0,0,0,0,1,0,1.51
39,3.6,0,0,0,0,0,0,0,1,1,-0.66
42,3.1,0,0,0,0,0,0,0,1,0,0.68
37,3.6,0,0,0,0,0,0,0,1,1,1.27
32,2.8,0,0,1,0,0,0,0,0,1,-1.28
39,3.6,0,0,0,0,0,0,0,1,1,-0.22
32,2.8,0,0,0,0,0,0,0,1,1,-1.09
36,3.7,0,0,0,0,0,0,0,1,1,0.17
38,3.4,0,0,0,0,0,0,0,1,0,-1.19
38,3.6,0,0,0,0,0,0,0,1,0,0.36
43,2.9,0,0,0,0,0,0,0,1,0,0.59
40,3.2,0,0,0,0,0,0,0,1,0,0.59
45,3.2,0,0,0,0,0,0,0,1,1,1.57
40,3.3,0,0,0,0,0,0,0,1,0,0.55
38,3.4,0,0,0,0,0,0,0,1,1,-1
32,2.8,0,0,0,0,1,0,0,0,1,-0.92
36,3.7,0,0,0,0,0,0,0,1,0,0.1
30,3.5,0,0,0,0,0,0,0,1,1,-1.75
37,3.7,0,0,0,0,0,0,0,1,0,0.74
36,3,0,0,0,0,0,1,0,0,1,-1.73
31,3.4,0,1,0,0,0,0,0,0,1,-0.23
28,3.2,0,0,0,0,0,0,0,1,1,0.57
39,2.4,0,0,0,0,0,0,0,1,0,0.16
41,3.9,0,0,0,0,0,0,0,1,1,1.17
29,3.5,0,0,0,0,0,0,0,1,0,0.2
39,3.8,0,0,0,0,0,0,0,1,0,-0.32
36,3,0,0,0,0,0,0,0,1,0,0.36
36,2.9,0,0,0,0,0,0,0,1,0,-0.8
36,2.9,0,0,0,0,0,0,0,1,0,0.89
37,2.8,0,0,0,0,0,0,0,1,0,0.77
38,3.2,0,0,0,0,0,0,0,1,0,0.48
32,3.1,0,0,0,0,0,0,0,1,0,0.36
37,3.1,0,0,0,0,0,0,0,1,0,0
27,3.3,0,0,0,0,0,0,0,1,0,-0.41
32,3.7,0,0,1,0,0,0,0,0,1,-0.85
31,3,0,0,0,0,0,0,0,1,1,0.44
33,3.1,0,0,0,0,0,0,0,1,1,0.2
35,3.2,0,0,0,0,0,0,0,1,0,-0.28
31,3.2,0,0,0,0,0,0,0,1,1,2.48
39,4.1,0,0,0,0,0,0,0,1,1,1.25
34,3.1,0,0,0,0,0,0,0,1,0,-0.6
37,2.8,0,0,0,0,0,0,0,1,1,-0.23
33,2.9,0,0,0,0,0,0,0,1,0,0.69
29,3.1,0,0,0,1,0,0,0,0,1,-1.45
34,3,0,0,0,0,0,0,0,1,1,-0.24
34,2.7,0,0,0,0,0,0,0,1,1,1.51
30,3,0,0,0,0,0,0,0,1,1,-1.09
33,3.3,0,0,0,0,0,0,0,1,1,0.89
34,2.9,0,0,0,0,0,0,0,1,0,-1.93
30,3.4,0,0,0,0,0,0,0,1,1,0.73
38,2.4,0,0,0,0,0,0,0,1,1,-0.2
32,3.1,0,0,0,0,0,0,0,1,0,0.93
35,3.2,0,0,0,0,0,0,0,1,1,0.27
29,3.4,0,0,0,0,0,0,0,1,1,-0.52
35,2.9,0,0,0,0,0,0,0,1,0,-0.4
27,2.3,0,0,0,0,0,0,0,1,0,-1.01
38,3,0,0,0,0,0,0,0,1,1,0.55
31,2.7,0,0,0,0,0,0,0,1,0,-0.2
38,3,0,0,0,0,0,0,0,1,1,0.15
28,3.9,0,0,0,0,0,0,0,1,1,0.48
34,2.6,0,0,0,0,0,0,0,1,0,0
31,3,0,0,0,0,0,0,0,1,1,0
33,2.9,0,0,0,0,0,0,0,1,0,-0.2
35,2.7,0,0,0,0,0,0,0,1,1,-1.05
36,2.6,0,0,0,0,0,0,0,1,1,-0.72
37,3.4,0,0,0,0,0,0,0,1,0,0.95
33,3.2,0,0,0,0,0,0,0,1,1,-0.4
26,2.8,0,0,0,0,0,0,0,1,0,-0.08
34,2.7,0,0,0,0,0,0,0,1,0,-0.12
35,2.9,0,0,0,0,0,0,0,1,0,1.94
30,2.8,0,0,0,0,0,0,0,1,0,0.24
41,3,0,0,0,0,0,0,0,1,1,0.2
35,3.2,0,0,0,0,0,0,0,1,0,-1.13
34,2.9,0,0,0,0,0,0,0,1,0,-2.06
42,2.6,0,0,0,0,0,0,0,1,0,1.57
30,3.1,0,0,0,0,0,0,0,1,0,0.87
41,2.5,0,0,0,0,0,0,0,1,0,0.9
32,3.5,0,0,0,0,0,0,0,1,0,0.2
31,3.3,0,0,0,0,0,0,0,1,0,0.85
39,3.1,0,0,0,0,0,0,0,1,0,1.19
40,3.8,0,0,0,0,0,0,0,1,0,1.85
33,3.2,0,0,0,0,0,0,0,1,0,-0.24
32,3.3,0,0,0,0,0,0,0,1,0,0.36
39,3.3,0,0,0,0,0,0,0,1,0,0.72
39,2.7,0,0,0,0,0,0,0,1,1,0.44
33,3.3,0,0,0,0,0,0,0,1,0,0.24
38,3.7,0,0,0,0,0,0,0,1,0,0.11
38,3.4,0,0,0,0,0,0,0,1,0,-0.51
40,3.2,0,0,0,0,0,0,0,1,0,1.73
42,3.3,0,0,0,0,0,1,0,0,0,1.22
29,2.8,0,0,1,0,0,0,0,0,0,-1.89
33,3.5,0,0,0,0,0,0,0,1,1,0.05
36,3.1,0,0,0,0,0,0,0,1,0,0.53
25,2.8,0,0,1,0,0,0,0,0,1,-2.22
39,3.6,0,0,0,0,0,0,0,1,0,0.18
41,3.7,0,0,0,0,0,0,0,1,1,0.9
36,3.9,0,0,0,0,0,0,0,1,1,-0.12
40,2.2,0,0,0,0,0,0,0,1,0,1.04
41,3.4,0,0,0,0,0,1,0,0,1,0.5
32,2.8,0,0,0,0,0,1,0,0,0,-1.13
37,3.4,0,0,0,0,0,0,0,1,0,-1.02
40,3.5,0,0,0,0,0,0,0,1,1,-0.12
36,3.7,0,0,0,0,0,0,0,1,1,0.77
36,2.9,0,0,0,0,0,0,0,1,0,0.06
37,3.9,0,0,0,0,0,0,0,1,1,0.37
48,2.3,0,0,0,0,0,0,0,1,1,0.8
35,3.9,0,0,0,0,0,0,0,1,1,0.14
34,3.2,0,1,0,0,0,0,0,0,0,0.14
47,3.9,0,0,0,0,0,0,0,1,1,-0.2
41,2.8,0,0,0,0,0,0,0,1,1,0.33
44,3.4,0,0,0,0,0,0,0,1,0,-0.33
38,3,0,0,0,0,0,0,0,1,0,-0.02
28,3.4,0,0,1,0,0,0,0,0,1,-2.37
46,2.5,0,0,0,0,0,0,0,1,0,-0.27
42,3,0,0,0,0,0,0,0,1,0,-0.4
34,2.8,0,0,0,1,0,0,0,0,0,-0.26
34,3.7,0,0,0,0,0,0,0,1,0,-0.96
38,3.3,0,0,0,0,0,0,0,1,0,0.39
33,3.9,0,0,0,0,0,0,0,1,1,0.46
34,3.9,0,0,0,0,0,0,0,1,0,-0.23
40,2.8,0,1,0,0,0,0,0,0,0,0.4
45,3.2,0,0,0,0,0,0,0,1,0,0.43
36,3.7,0,0,0,0,0,0,0,1,0,0.89
38,3.4,0,0,0,1,0,0,0,0,0,1.02
44,4.1,0,0,0,0,0,0,0,1,1,1.7
40,3.5,0,0,0,0,0,0,0,1,0,-0.52
44,3.6,0,0,0,0,0,0,0,1,1,1.62
40,3.3,0,0,0,0,0,0,0,1,0,1.95
42,3.6,0,0,0,0,0,0,0,1,1,1.65
40,2,0,0,0,0,0,0,0,1,0,1.2
45,3.4,0,0,0,0,0,0,0,1,1,1.87
36,3.7,0,0,0,0,0,0,0,1,1,0.05
34,3.2,0,0,0,0,0,0,0,1,1,-0.55
38,3.4,0,0,0,0,0,0,0,1,0,-0.3
40,3.5,0,0,0,0,0,0,0,1,0,-0.06
39,3.4,0,0,0,0,0,0,0,1,1,0.57
40,3.2,0,0,0,0,0,0,0,1,0,0.82
33,2.9,0,0,0,0,0,0,0,1,0,0.19
38,3.8,0,0,0,0,0,0,0,1,0,1.16
38,3.5,0,0,0,0,0,0,0,1,1,0.48
35,3.3,0,0,0,0,0,0,0,1,1,-0.26
39,3.3,0,0,0,0,0,0,0,1,1,1.16
40,3.8,0,0,0,0,0,0,0,1,1,2.25
37,3.2,0,0,0,0,0,0,0,1,0,1.91
35,2.8,0,1,0,0,0,0,0,0,0,0.96
30,2.6,0,0,0,0,0,0,0,1,0,-0.26
38,3.2,0,0,0,0,0,0,0,1,1,0.56
31,3.7,0,0,0,0,0,0,1,0,1,0.8
40,3,0,0,0,0,0,0,0,1,1,1.45
34,3.7,0,0,0,0,0,0,0,1,0,0.43
42,3.9,0,0,0,0,0,0,0,1,1,0.5
32,2.7,0,0,0,0,0,0,0,1,0,1.02
30,3,0,0,0,0,0,0,0,1,1,-0.33
37,2.5,0,0,0,1,0,0,0,0,0,0.23
35,3.5,0,0,0,0,0,0,0,1,1,0.6
37,3.4,0,0,0,0,0,0,0,1,1,0.63
28,2.7,0,0,1,0,0,0,0,0,0,-0.59
30,2.9,0,0,0,1,0,0,0,0,1,-0.99
33,2.7,0,0,0,0,0,0,0,1,1,-0.24
47,2.9,0,0,0,0,0,0,0,1,1,0.56
34,2.8,0,0,0,0,0,0,1,0,0,-0.86
34,3.1,1,0,0,0,0,0,0,0,1,-0.56
34,3.4,0,0,0,0,0,0,0,1,0,-0.43
40,3.2,0,0,0,0,0,0,0,1,0,-0.36
30,2.7,0,0,0,0,0,0,0,1,0,0.06
33,3.8,0,0,0,0,0,0,0,1,0,1.58
36,2.3,0,0,0,0,0,0,0,1,0,1.65
35,2.9,0,0,0,0,0,0,0,1,0,-0.13
30,2.9,0,0,0,0,0,0,0,1,1,-0.43
27,2.7,0,0,0,0,0,0,0,1,0,-0.72
38,3.2,0,0,0,0,0,0,0,1,0,0.63
37,3.3,0,0,0,0,0,0,0,1,1,-0.13
39,2.4,0,0,0,0,0,0,0,1,0,-0.1
41,2.4,0,0,0,0,0,0,0,1,0,1.61
33,2.3,0,0,0,1,0,0,0,0,0,0.99
45,2.6,0,0,0,0,0,0,0,1,0,-1.05
33,3.4,0,0,0,0,0,0,0,1,0,-0.03
27,3.6,0,0,0,1,0,0,0,0,0,-0.1
40,3.7,0,0,0,0,0,0,0,1,1,1.75
36,3.1,0,0,0,0,0,0,0,1,1,-0.43
20,3.2,0,1,0,0,0,0,0,0,0,-1.87
36,3.8,0,0,0,0,0,0,0,1,0,-0.99
36,3.3,0,0,0,0,0,0,0,1,0,-0.12
42,3.4,0,0,0,0,0,0,0,1,1,0.99
40,3.6,0,0,0,0,0,0,0,1,0,0.73
26,3.6,0,0,0,0,0,0,1,0,0,-1.15
45,3.6,0,0,0,0,0,0,0,1,0,1.35
30,2.4,0,0,0,0,0,0,0,1,0,-0.89
38,3,0,0,0,0,0,0,0,1,1,-0.69
25,2.5,0,0,1,0,0,0,0,0,1,-0.89
35,3,0,0,0,0,0,0,0,1,1,0.68
20,3,0,0,1,0,0,0,0,0,1,-1.02
28,2.8,0,1,0,0,0,0,0,0,1,-1.38
38,3.2,0,0,0,0,0,0,0,1,0,0.07
20,2.8,0,0,0,0,0,0,1,0,1,-1.19
44,3,0,0,0,0,0,0,0,1,0,1.45
29,2.9,0,0,0,0,0,0,0,1,0,1.16
45,2.6,0,0,0,0,0,0,0,1,0,-0.03
36,2.8,0,0,0,0,0,0,0,1,0,-1.19
21,3,0,0,1,0,0,0,0,0,1,-1.32
28,2.2,0,1,0,0,0,0,0,0,0,-0.79
36,3.1,0,0,0,0,0,0,0,1,0,-0.59
37,3.4,0,0,0,0,0,0,0,1,0,0.43
29,3.2,0,0,0,0,0,0,1,0,1,-0.89
33,3.4,0,0,0,0,0,0,0,1,0,1.62
36,3.2,0,0,0,0,0,0,0,1,0,0.27
42,3.4,0,0,0,0,0,0,0,1,1,0.92
30,2.7,0,1,0,0,0,0,0,0,0,-1.38
27,3.1,0,1,0,0,0,0,0,0,0,-1.68
37,3.3,0,0,0,0,0,0,0,1,0,0.03
22,3.3,0,0,0,0,0,0,1,0,1,-0.76
33,3.3,0,0,0,0,0,0,0,1,1,0.2
27,3.3,0,0,0,0,0,1,0,0,0,-0.03
28,3.3,0,1,0,0,0,0,0,0,0,-1.32
35,3.1,0,0,0,0,0,0,0,1,1,-0.14
28,3.7,0,0,0,0,0,0,0,1,0,0
22,3.3,0,0,0,0,0,0,0,1,1,-1.45
33,3.1,0,0,0,0,1,0,0,0,0,-0.24
40,3,0,0,0,0,0,0,0,1,0,-0.1
40,3.5,0,0,0,0,0,0,0,1,0,0.58
40,3.7,0,0,0,0,0,0,0,1,1,-0.43
41,2.4,0,0,0,0,0,0,0,1,1,-0.59
47,2.8,0,0,0,0,0,0,0,1,0,-0.14
38,2.5,0,0,0,0,0,0,0,1,0,-1.69
43,3.3,0,0,0,0,0,0,0,1,1,0.87
40,3.6,0,0,0,0,0,0,0,1,0,-0.08
37,3.4,0,0,0,0,0,0,0,1,1,-0.51
35,2.8,0,0,0,0,0,0,0,1,0,-0.96
44,3.7,0,1,0,0,0,0,0,0,1,0.34
38,2.4,0,0,0,0,0,0,0,1,0,1.38
32,3.9,0,0,0,0,0,1,0,0,1,0.13
43,4,0,0,0,0,0,0,0,1,0,0.87
41,3.7,0,0,0,0,0,0,0,1,0,0.75
42,3.9,0,0,0,0,0,0,0,1,1,-1.21
28,3.5,1,0,0,0,0,0,0,0,0,-1.54
46,3.3,0,0,0,0,0,0,0,1,0,-0.76
45,3.5,0,0,0,0,0,0,0,1,0,0.87
42,3.7,0,0,0,0,0,0,0,1,0,1.92
42,3.6,0,0,0,0,0,0,0,1,0,0.81
45,3.2,0,0,0,0,0,0,0,1,1,-0.16
42,3.5,0,0,0,0,0,0,0,1,1,0.71
45,3.4,0,1,0,0,0,0,0,0,1,-1.25
44,3.4,0,0,0,0,0,0,0,1,0,-0.33
41,3.5,0,0,0,0,0,0,0,1,1,-1.25
41,3.6,0,0,0,0,0,0,0,1,0,2.05
35,3.6,0,0,0,1,0,0,0,0,1,-1.36
34,2.7,0,0,1,0,0,0,0,0,0,-1.56
32,2.7,0,0,1,0,0,0,0,0,1,0.71
47,3,0,0,0,0,0,0,0,1,1,0.71
44,3.4,0,0,0,0,0,0,0,1,0,0.81
42,2.3,0,0,0,1,0,0,0,0,0,-1.25
40,3,0,0,0,0,0,0,0,1,1,-1.32
41,3.5,0,0,0,0,0,0,0,1,1,1.84
30,2.9,0,0,0,0,0,0,0,1,0,-0.33
45,3.6,0,0,0,0,0,0,0,1,0,0.34
33,3.9,0,1,0,0,0,0,0,0,0,-0.41
35,2.5,0,0,0,0,1,0,0,0,0,0.19
44,3.2,0,0,0,0,0,0,0,1,0,1.08
46,3,0,0,0,0,0,0,0,1,0,-1.27
39,3.6,0,0,0,0,0,0,0,1,1,-1.73
43,3.3,0,0,0,0,0,0,0,1,1,1.82
48,3.7,0,0,0,0,0,0,0,1,1,1.26
33,2.5,0,0,0,0,0,0,0,1,0,-0.32
40,3.8,0,0,0,0,0,0,0,1,1,-0.18
40,3.6,0,0,0,0,0,0,0,1,1,0.09
44,3,0,1,0,0,0,0,0,0,1,-0.9
41,3.6,0,0,0,0,0,0,0,1,1,-0.06
43,3.3,0,1,0,0,0,0,0,0,1,-0.16
47,3.4,0,1,0,0,0,0,0,0,0,1.22
43,3.4,0,0,0,0,0,0,0,1,0,0.56
42,3.6,0,0,0,0,0,0,0,1,1,1.45
42,3.5,0,0,0,0,0,0,0,1,1,0.69
46,3.1,0,0,0,1,0,0,0,0,1,-0.57
42,3.6,0,0,0,0,0,0,0,1,0,-0.92
45,3.3,0,0,0,0,0,0,0,1,0,0.6
40,3.7,0,0,0,0,0,1,0,0,1,-0.66
42,3.1,0,0,0,0,0,0,0,1,0,-0.41
31,2.6,0,0,0,0,0,0,0,1,0,-0.43
39,3.7,0,0,0,0,0,0,0,1,0,-1.5
42,3.4,0,0,0,0,0,0,0,1,1,-0.08
32,3.3,0,0,0,0,0,0,0,1,0,-0.71
37,3.5,0,0,0,0,0,0,0,1,1,-1.69
41,3.6,0,1,0,0,0,0,0,0,1,0.85
39,3.9,0,0,0,0,0,0,0,1,1,-0.35
42,3.4,0,0,0,0,0,0,0,1,0,-0.16
28,2.4,0,0,1,0,0,0,0,0,0,-1.54
44,3.6,0,0,0,0,0,0,0,1,0,0.77
40,3.6,0,0,0,0,0,0,0,1,0,0.67
37,2.5,0,0,0,1,0,0,0,0,0,-1.67
39,3.7,0,0,0,0,0,0,0,1,0,1.37
28,2.6,0,0,0,0,0,0,0,1,1,-0.95
44,3.2,0,0,0,0,0,0,0,1,0,-1.69
40,3.4,0,0,0,0,0,0,0,1,0,0.69
46,3,0,0,0,0,0,0,0,1,1,0.95
40,3.7,0,0,0,0,0,0,0,1,0,-0.22
41,3.6,0,0,0,0,0,0,0,1,1,0.36
46,3.5,0,0,0,0,0,0,0,1,1,2.11
42,2.5,0,0,1,0,0,0,0,0,0,-0.59
37,3,0,0,0,0,0,0,0,1,0,1.72
39,2.9,0,0,0,0,0,0,0,1,0,1.67
31,2.5,0,0,0,0,0,0,0,1,1,0.02
36,2.9,0,0,0,0,0,0,0,1,1,-0.78
30,2.9,0,0,0,0,0,0,0,1,0,-0.59
37,3.2,0,0,0,0,0,0,0,1,0,-0.32
36,3.8,0,0,0,0,0,0,0,1,0,0.99
36,3.1,0,0,0,0,0,0,0,1,0,-0.37
34,3.3,0,0,0,0,0,0,0,1,1,0.03
34,3.4,0,0,0,0,0,0,0,1,0,-0.94
38,2.8,0,0,0,0,0,0,0,1,1,-0.58
34,2.8,0,0,0,0,0,0,0,1,1,-0.55
41,2.8,0,0,0,0,0,0,0,1,1,0.66
26,3.5,0,0,0,0,0,0,0,1,0,0.72
36,2.9,0,0,0,0,0,0,0,1,1,-0.48
34,2.8,0,0,0,0,0,0,0,1,0,-0.16
38,2.7,0,0,0,0,0,0,0,1,0,1.15
38,2.6,0,0,0,0,0,0,0,1,0,-0.78
35,2.9,0,0,0,0,0,0,0,1,0,0.22
35,3.5,0,0,0,0,0,0,0,1,1,1.08
35,3,0,0,0,0,0,0,0,1,1,0.53
33,2.1,0,0,0,0,0,0,0,1,0,-0.62
35,3.2,0,0,0,0,0,0,0,1,0,0.92
28,3.3,0,0,0,0,0,0,0,1,1,0.37
35,2.9,0,0,0,0,0,0,0,1,1,0.09
32,3.8,0,0,0,0,0,0,0,1,1,-0.39
32,2.9,0,0,0,0,0,0,0,1,1,0.68
40,3.3,0,0,0,0,0,0,0,1,0,0.34
31,3.9,0,0,0,0,0,0,0,1,1,0.14
35,3.6,0,0,0,0,0,0,0,1,0,-0.33
32,3.1,0,0,0,0,0,0,0,1,1,-0.9
29,2.5,0,0,1,0,0,0,0,0,1,-0.25
35,2.8,0,0,0,0,0,0,0,1,0,-1.24
27,3.5,0,0,1,0,0,0,0,0,0,-0.93
30,3.3,0,0,1,0,0,0,0,0,1,0.29
31,2.2,0,0,1,0,0,0,0,0,0,0.21
23,2.7,0,0,1,0,0,0,0,0,1,-1.56
31,1.9,0,1,0,0,0,0,0,0,0,-0.02
33,2.3,0,0,1,0,0,0,0,0,1,0.16
29,2.7,0,1,0,0,0,0,0,0,1,0.16
32,2.6,0,0,1,0,0,0,0,0,1,1.94
32,2.9,0,0,1,0,0,0,0,0,0,-0.57
31,3.1,0,0,1,0,0,0,0,0,0,0.62
37,3,0,0,0,0,0,0,0,1,0,-0.04
30,3,0,0,0,0,0,0,0,1,1,0.77
27,2.8,0,0,1,0,0,0,0,0,1,-1.06
36,2.6,0,0,1,0,0,0,0,0,0,0.41
29,2.1,0,0,1,0,0,0,0,0,0,-0.56
30,2.8,0,1,0,0,0,0,0,0,1,0.05
32,2.1,0,0,1,0,0,0,0,0,1,0.76
24,3.6,0,0,0,0,0,0,0,1,0,0.69
31,2.9,0,0,1,0,0,0,0,0,1,-0.9
30,2.7,0,0,1,0,0,0,0,0,0,1.14
29,2.7,0,0,1,0,0,0,0,0,0,-1.03
40,1.7,0,0,0,0,0,0,0,1,0,0.52
29,3.6,0,0,0,1,0,0,0,0,1,-0.58
29,2.5,0,0,0,1,0,0,0,0,0,0.56
34,3.3,0,0,1,0,0,0,0,0,1,-1.24
30,3.4,0,0,1,0,0,0,0,0,0,0.71
28,2.2,0,0,1,0,0,0,0,0,1,-0.31
36,2.2,0,0,1,0,0,0,0,0,1,-0.55
31,2.8,0,0,1,0,0,0,0,0,0,0.02
35,2.3,0,0,0,0,0,0,0,1,0,1.69
35,3.2,0,0,1,0,0,0,0,0,1,0.78
34,3.2,0,0,1,0,0,0,0,0,1,0.97
32,3.4,0,0,1,0,0,0,0,0,1,0.1
34,1.9,0,0,0,0,0,0,0,1,0,-0.93
36,2.7,0,0,0,0,0,0,0,1,0,0.78
26,3.6,0,0,1,0,0,0,0,0,1,0.03
28,3.9,0,0,0,0,0,0,0,1,0,0.6
26,2.9,0,0,1,0,0,0,0,0,1,-0.14
26,2.8,0,0,1,0,0,0,0,0,1,-2.14
37,1.9,0,0,1,0,0,0,0,0,0,-0.96
32,2.1,0,0,1,0,0,0,0,0,1,-0.62
20,2.7,0,0,1,0,0,0,0,0,1,-0.93
32,2.4,0,0,0,0,0,0,0,1,0,-0.06
33,3.7,0,0,1,0,0,0,0,0,1,-0.55
35,2.7,0,0,0,0,0,0,0,1,1,-0.28
32,2,0,0,1,0,0,0,0,0,0,-0.68
23,3.5,0,0,1,0,0,0,0,0,0,0.21
29,2.7,0,0,1,0,0,0,0,0,1,-0.04
39,2.5,0,0,0,0,0,0,0,1,0,1.4
33,2.2,0,0,1,0,0,0,0,0,1,-1.41
33,3,0,0,0,0,0,0,0,1,1,-0.72
31,2.7,0,1,0,0,0,0,0,0,1,0.14
30,2.4,0,0,1,0,0,0,0,0,1,-0.17
30,2.6,0,0,1,0,0,0,0,0,1,0.89
28,2.7,0,0,1,0,0,0,0,0,1,-0.02
29,2.6,0,0,1,0,0,0,0,0,0,-1.18
