ID,GBM_3,GBM_2,GBM_5,GBM_4,GBM_g4,GBM_g2,GBM_1,GBM_g3,GBM_g1,GBM_g5,XRT_1,DRF_1,DL_1,GLM_1
20831,0.9999,0.99194,0.99733,0.99844,0.98023,0.98805,0.99881,0.99424,0.98541,0.9999,0.98,0.98006,0.9724,0.78395
40347,0.99888,0.99819,0.99757,0.99922,0.99918,0.9972,0.99758,0.99759,0.99954,0.99831,1,0.99929,0.98937,0.9522
31792,0.99934,0.99955,0.99938,0.99928,0.99873,0.99825,0.999,0.99804,0.99766,0.99962,0.99895,1,0.99865,0.97108
29337,0.9572,0.96515,0.95079,0.9411,0.97594,0.95591,0.97296,0.96205,0.97123,0.93353,0.97918,0.93284,0.92427,0.84564
15124,0.9978,0.99767,0.99401,0.99912,0.97862,0.99453,0.99918,0.98898,0.99549,0.99656,0.9975,0.99632,0.98534,0.92747
40590,0.97372,0.99293,0.99403,0.99055,0.91265,0.9153,0.99535,0.97556,0.98573,0.99196,1,0.96966,0.94992,0.78471
47650,0.99124,0.9836,0.98448,0.9992,0.99152,0.97909,0.99646,0.9844,0.94361,1,0.98,0.99,0.93988,0.97694
17331,0.9623,0.94408,0.95653,0.96679,0.92788,0.92775,0.99999,0.97401,0.90181,1,0.98504,0.97714,0.95362,0.85043
19354,0.99724,0.99874,0.9985,0.99982,0.99374,0.9961,0.99952,0.9967,0.99168,0.99943,0.99977,0.99232,0.99932,0.97701
24972,0.96719,0.91529,0.91023,0.99089,0.90483,0.87221,0.9794,0.92746,0.9923,1,0.98575,0.9316,0.90587,0.86149
15310,0.99871,0.99643,0.99907,0.99918,0.94311,0.99592,0.99769,0.98759,0.99106,0.9998,0.98,0.95,0.99972,0.99917
11888,0.98012,0.98219,0.99501,0.98085,0.93085,0.9257,0.94389,0.94344,0.98187,0.97806,1,0.82667,0.86566,0.7778
30976,0.91434,0.87686,0.89539,0.94721,0.96013,0.86806,0.94672,0.88712,0.93846,0.98161,0.97942,0.89573,0.87524,0.83545
13631,0.99859,0.99754,0.99865,0.99808,0.98396,0.99652,0.99931,0.99806,0.99154,0.99925,1,1,0.99536,0.99214
25633,0.91799,0.99576,0.95044,0.99009,0.97697,0.97487,0.98207,0.9827,0.93744,0.99979,1,0.76502,0.9678,0.77627
27325,0.94589,0.90635,0.9527,0.96888,0.99578,0.89756,0.97467,0.90978,0.93946,0.99584,1,0.9779,0.95852,0.77883
31897,0.98694,0.98947,0.9386,0.9989,0.9811,0.99028,0.99883,0.97751,0.98112,1,0.98,0.9233,0.91474,0.96582
6956,0.997,0.98952,0.99577,0.99799,0.99155,0.97317,0.9935,0.97918,0.95465,0.99742,0.98,0.89508,0.96465,0.78237
35183,0.99526,0.98066,0.98477,0.9919,0.95602,0.9777,0.98911,0.98691,0.96689,1,1,0.92462,0.95276,0.91032
8959,0.91629,0.93455,0.95279,0.97222,0.97439,0.87109,0.97916,0.95855,0.99848,1,1,0.86506,0.97268,0.78482
29271,0.97686,0.96384,0.98841,0.95366,0.92788,0.9194,0.98916,0.92658,0.83025,0.99515,0.98325,0.99345,0.91156,0.85647
13492,0.99776,0.9993,0.99934,0.99877,0.99864,0.9968,0.99948,0.99768,0.9991,0.99935,0.99818,0.99939,0.99359,0.95098
19412,0.99808,0.99844,0.99753,0.99982,0.99812,0.99643,0.99669,0.99733,0.99753,0.99874,0.99995,0.97846,0.99965,0.97178
9666,0.98069,0.97969,0.9462,0.97448,0.9558,0.93398,0.98172,0.96464,0.94156,1,0.98894,0.96675,0.9665,0.79476
5087,0.99842,0.99555,0.88654,0.99573,0.99029,0.99306,0.99884,0.99561,0.99359,1,0.99333,0.97333,0.99931,0.99592
35588,0.9966,0.9985,0.99733,0.99913,0.9996,0.99492,0.99936,0.99784,0.99871,0.99871,1,1,0.99327,0.9766
10727,0.97151,0.98388,0.96007,0.99466,0.97669,0.92046,0.96047,0.94546,0.99626,0.99748,0.98522,0.98992,0.99274,0.78618
27541,0.99938,0.99479,0.99833,0.99961,0.99357,0.99003,0.99864,0.98961,0.99666,0.99645,0.98,0.99994,0.92402,0.90782
23920,0.99966,0.9997,0.99952,0.99981,0.99968,0.99924,0.99975,0.99936,0.99912,0.99965,1,1,0.99743,0.9686
34079,0.99655,0.99863,0.99768,0.99999,0.9971,0.99567,0.99737,0.99642,0.99412,0.99855,0.99,0.97245,0.99898,0.97154
43766,0.99816,0.99792,0.99843,0.99875,0.99452,0.99054,0.99687,0.9952,0.98639,0.99948,1,0.99818,0.96295,0.95883
36778,0.98995,0.97908,0.98135,0.98844,0.90189,0.97267,0.9967,0.99565,0.94009,1,1,0.98196,0.98715,0.93019
12700,0.99574,0.9981,0.99662,0.99526,0.99483,0.99264,0.99663,0.99317,0.97858,0.99993,0.99954,0.99989,0.99524,0.97161
4725,0.94546,0.97612,0.913,0.97353,0.9826,0.89942,0.97141,0.91514,0.93911,0.98357,0.98742,0.99402,0.96216,0.87289
29102,0.9359,0.90339,0.91029,0.99811,0.83995,0.87097,0.98968,0.90355,0.95926,1,0.97575,0.95232,0.91244,0.87369
5179,0.98467,0.99587,0.98606,0.99449,0.99879,0.98856,0.99371,0.99034,0.994,0.99481,1,0.98212,0.99173,0.92785
1650,0.96759,0.96239,0.94287,0.96788,0.98702,0.91069,0.9955,0.86378,0.93165,1,0.98492,0.98354,0.85014,0.92016
220,0.94094,0.98122,0.98566,0.98856,0.9447,0.93409,0.94408,0.97273,0.92064,0.94611,1,0.86328,0.97813,0.83869
21251,0.94861,0.89019,0.90885,0.98518,0.96631,0.88066,0.97781,0.89901,0.91526,1,0.99372,0.96545,0.8889,0.87672
1583,0.99911,0.99945,0.99912,0.99975,0.99925,0.99847,0.99953,0.99895,0.99917,0.99947,1,1,0.99795,0.95273
22737,0.99803,0.99958,0.99921,0.99906,0.99882,0.99667,0.99905,0.99867,0.99987,0.99966,1,0.99964,0.9967,0.97016
33458,0.99537,0.99892,0.9979,0.99884,0.99247,0.99331,0.99639,0.99289,0.99656,0.99524,0.99,0.96,0.98548,0.9593
46964,0.99924,0.99861,0.99907,0.99192,0.99835,0.99231,0.99842,0.99416,0.99779,0.99561,1,0.88,0.9733,0.88708
3863,0.99272,0.99239,0.99064,0.99558,0.99709,0.99245,0.99728,0.9888,0.99864,0.99906,0.99634,0.99475,0.98968,0.90324
21623,0.99815,0.9979,0.99855,0.99997,0.99705,0.98844,0.9986,0.99276,0.98841,1,0.99493,0.99955,0.94529,0.87139
24044,0.97827,0.98499,0.98805,0.98151,0.98883,0.98505,0.98566,0.98493,0.98401,0.99943,0.96291,0.99247,0.99846,0.98652
19360,0.94281,0.97245,0.95359,0.96438,0.99992,0.92972,0.98034,0.93916,0.8589,1,0.97894,0.96603,0.99858,0.81665
20232,0.99763,0.99394,0.99475,0.99672,0.99715,0.99862,0.99662,0.99372,0.9931,0.98203,0.97,0.94,0.98462,0.77641
41904,0.99994,0.98904,0.99525,0.99996,0.97277,0.99388,0.99829,0.99828,0.97451,0.99871,0.98,0.96,0.98556,0.95945
12736,0.99437,0.97904,0.99261,0.99087,0.98969,0.98705,0.99514,0.94539,0.97624,0.99382,0.96,0.92006,0.92751,0.90384
46775,0.99922,0.99961,0.99948,0.9999,0.99977,0.99791,0.99977,0.99888,0.99984,0.99996,1,0.99925,0.99705,0.97534
13738,0.80014,0.84983,0.85231,0.94433,0.96467,0.91189,0.94759,0.83014,0.84678,0.86586,0.99231,0.8999,0.74361,0.78111
45566,0.99392,0.99408,0.998,0.99542,0.98716,0.99703,0.99848,0.99678,0.99972,1,0.98,0.96,0.99615,0.99846
39651,0.96821,0.92671,0.92394,0.98468,0.98461,0.92361,0.98816,0.94158,0.94863,0.96718,0.99796,0.97941,0.9303,0.80677
7405,0.99106,0.99182,0.99721,0.99751,0.99368,0.99224,0.99227,0.99928,0.99437,0.99878,0.99667,0.95966,0.99714,0.98825
8164,0.99637,0.90707,0.89472,0.94907,0.90677,0.86028,0.91809,0.93736,0.8614,0.99941,0.9905,0.92476,0.88498,0.86685
21116,0.9974,0.99939,0.99859,0.99992,0.9986,0.99578,0.99929,0.9978,0.99812,0.99804,0.99,0.99,0.99885,0.99237
19120,0.99391,0.99076,0.98677,0.99918,0.98502,0.97971,0.99721,0.98251,0.97383,1,0.996,0.99265,0.98667,0.97215
5752,0.99037,0.99731,0.98756,0.99917,0.99746,0.98694,0.9971,0.99129,0.98927,1,0.99714,0.98,0.94908,0.96439
28185,0.99705,0.98836,0.99898,0.98349,0.99329,0.99094,0.99595,0.98804,0.98627,0.99845,1,0.87,0.98838,0.89456
10749,0.97852,0.94702,0.97505,0.94254,0.94721,0.96319,0.98612,0.97276,0.88767,0.9713,0.97724,0.92683,0.85001,0.8791
737,0.88212,0.86567,0.90751,0.91728,0.87729,0.84728,0.86301,0.87729,0.83094,0.97222,0.98911,0.90672,0.99633,0.83938
35506,0.96603,0.95928,0.95948,0.92407,0.94168,0.95825,0.9142,0.97523,0.86027,0.9572,0.99228,0.90783,0.91701,0.83605
40570,0.95571,0.95997,0.96339,0.98451,0.97886,0.97516,0.95706,0.92781,0.99814,0.95818,0.98125,0.92166,0.96774,0.87525
16048,0.98451,0.98179,0.98941,0.97582,0.89723,0.97672,0.97076,0.97074,0.98268,0.99295,0.94322,0.92,0.92066,0.80728
30602,0.99228,0.99383,0.99601,0.96631,0.97226,0.99271,0.9891,0.98483,0.97781,0.99915,0.99429,0.93111,0.99917,0.97609
48363,0.88211,0.92118,0.86266,0.951,0.94503,0.85636,0.99832,0.88483,0.90785,1,0.98513,0.91949,0.99087,0.85636
13463,0.99747,0.99745,0.99139,0.99372,0.99056,0.98851,0.99672,0.99073,0.99244,0.99888,0.98277,0.98521,0.98782,0.94907
6952,0.99494,0.99612,0.98785,0.99799,0.99241,0.98815,0.99919,0.98513,0.98313,0.99668,0.9775,0.98248,0.97742,0.91742
18224,0.99871,0.99768,0.99477,0.99988,0.99704,0.99377,0.99981,0.99851,0.99678,0.99835,0.98,0.94,0.95563,0.77629
21353,0.9947,0.89171,0.93551,0.95255,0.90924,0.95577,0.99412,0.95489,0.94212,0.99504,1,0.99833,0.97845,0.94884
19514,0.97763,0.97564,0.9833,0.97938,0.97002,0.97287,0.99691,0.97906,0.96474,0.98644,0.9956,0.98982,0.98262,0.84608
11738,0.99814,0.99877,0.99833,0.99826,0.9985,0.99784,0.99863,0.99773,0.99806,0.99843,0.99958,1,0.99511,0.95788
33020,0.99252,0.9735,0.96044,0.98115,0.9902,0.9907,0.99244,0.99121,0.98523,0.9909,0.99857,0.9006,0.96587,0.83044
3485,0.99742,0.99907,0.99723,0.99937,0.99763,0.99475,0.99705,0.99364,0.99879,0.99849,1,0.96846,0.99839,0.94264
29850,0.99954,0.99966,0.99928,0.99981,0.99969,0.99895,0.99986,0.99958,0.9996,0.99987,1,1,0.99809,0.98693
37988,0.97038,0.9728,0.91378,0.93197,0.98805,0.95812,0.95419,0.96087,0.98771,1,0.99333,0.92464,0.9482,0.95332
20562,0.99204,0.99299,0.99078,0.99701,0.99238,0.9928,0.99129,0.99768,0.99136,0.99701,0.98,0.98,0.99281,0.98785
46990,0.99806,0.99884,0.99844,0.99879,0.99865,0.99786,0.99859,0.99809,0.99549,0.99837,0.99958,0.99987,0.9937,0.95321
20682,0.99833,0.99931,0.97833,0.99717,0.98972,0.98312,0.99807,0.95155,0.98871,0.99118,0.98,0.98,0.93286,0.7801
21857,0.98755,0.97082,0.98639,0.99491,0.99361,0.98456,0.99859,0.99075,0.99617,0.99386,0.9797,0.91943,0.89315,0.86692
16582,0.99958,0.99974,0.99961,0.99992,0.99901,0.99907,0.99979,0.99963,0.99907,0.99989,1,1,0.99909,0.97992
22949,0.98794,0.99226,0.92368,0.99339,0.98334,0.99934,0.99044,0.9596,0.97827,1,0.99792,0.90533,0.93936,0.94429
46793,0.97969,0.97754,0.9814,0.99043,0.96612,0.97938,0.96464,0.97034,0.98017,0.9982,0.97791,0.99622,0.95097,0.8571
6559,0.90486,0.97723,0.83614,0.981,0.97774,0.91062,0.99017,0.96485,0.98553,1,0.96755,0.91149,0.96403,0.78642
26926,0.99987,0.99977,0.99977,0.99978,0.99971,0.99923,0.99996,0.99959,0.99984,0.99995,1,1,0.99898,0.98928
8061,0.97549,0.99158,0.99373,0.9583,0.97867,0.97756,0.98854,0.97817,0.93353,1,0.95222,0.93606,0.90808,0.93302
12009,0.90746,0.95486,0.96458,0.96766,0.92308,0.92169,0.98737,0.98185,0.88312,0.97619,0.98,0.98719,0.97581,0.83831
12324,0.99907,0.9912,0.99942,0.99896,0.99159,0.99825,0.99753,0.99624,0.9899,0.9994,0.98,0.925,0.95999,0.88647
33195,0.93618,0.99548,0.99199,0.93032,0.98096,0.95467,0.99692,0.92051,0.9287,0.98712,0.9899,0.93797,0.93835,0.79351
22984,0.9194,0.97032,0.63691,0.98927,0.93314,0.94447,0.97965,0.99581,0.95308,0.95678,0.98859,0.88444,0.89572,0.80035
18944,0.9178,0.88112,0.89764,0.82265,0.76889,0.92543,0.80678,0.94758,0.84063,0.90614,0.914,0.85666,0.91739,0.82204
42520,0.99711,0.99748,0.99645,0.99956,0.99891,0.99385,0.99898,0.99252,0.98699,0.99763,1,0.98667,0.98485,0.96099
30285,0.98456,0.95769,0.97877,0.96333,0.99616,0.97527,0.99729,0.98158,0.99216,0.98176,0.99778,0.98238,0.95243,0.78304
30173,0.96715,0.94628,0.98496,0.97847,0.98761,0.97061,0.93937,0.97431,0.92554,1,0.98583,0.99545,0.98745,0.78894
13934,0.99055,0.99176,0.9923,0.99584,0.99206,0.9849,0.99399,0.99543,0.99798,0.99731,0.99394,0.96024,0.98454,0.89141
4082,0.99876,0.99059,0.99701,0.99604,0.98482,0.98839,0.99273,0.99346,0.96164,0.99295,1,1,0.99521,0.96624
9284,0.99895,0.99931,0.99902,0.99968,0.99931,0.99827,0.9995,0.99899,0.99913,0.99925,0.99995,0.99944,0.99688,0.97106
29322,0.98518,0.98832,0.98915,0.99356,0.98793,0.9828,0.98368,0.98675,0.98236,0.97976,0.99938,0.98661,0.97907,0.93284
34309,0.93238,0.91948,0.92271,0.97078,0.94759,0.89249,0.97283,0.89561,0.91348,0.99363,0.99075,0.87763,0.91593,0.78157
41018,0.99592,0.99282,0.99576,0.99666,0.99919,0.98634,0.99977,0.99556,0.98248,1,1,0.99769,0.96147,0.86326
37319,0.89939,0.94162,0.95434,0.90441,0.99977,0.92424,0.98867,0.94743,0.8801,0.90811,0.99409,0.98548,0.96002,0.79898
39644,0.99539,0.98816,0.99888,0.9992,0.99546,0.99605,0.99897,0.99898,0.99743,0.99968,1,1,0.97339,0.95784
832,0.98617,0.97054,0.97371,0.9924,0.93926,0.96931,0.9797,0.96356,0.92658,1,0.98209,0.93686,0.95329,0.89556
40996,0.99959,0.99977,0.99971,0.99954,0.99989,0.99924,0.99969,0.99963,0.9999,0.99987,1,1,0.9995,0.98732
29610,0.98385,0.93844,0.94989,0.99886,0.93117,0.92765,0.97574,0.95074,0.87505,1,1,0.98034,0.93513,0.89674
38758,0.99914,0.99958,0.99946,0.99998,0.99958,0.99845,0.9998,0.99879,0.99948,0.99998,1,1,0.99955,0.99344
8355,0.99959,0.99986,0.99994,0.99857,0.99691,0.99902,0.9985,0.99894,0.99371,0.99988,1,1,0.99621,0.97938
20889,0.97523,0.97743,0.97201,0.97613,0.97469,0.96327,0.9974,0.96404,0.96449,0.97763,0.97921,0.96762,0.98569,0.86688
22890,0.9281,0.91441,0.97184,0.99388,0.93393,0.91583,0.95511,0.93831,0.92086,0.99924,1,0.86767,0.9184,0.77968
37575,0.99485,0.99276,0.9939,0.99461,0.98641,0.99089,0.98598,0.98653,0.98172,0.99742,0.97,0.915,0.95046,0.87431
17052,0.99604,0.99873,0.99826,0.99542,0.99935,0.99736,0.99787,0.99847,0.99328,0.99368,0.99936,0.96,0.99933,0.99428
12159,0.99862,0.99871,0.99552,0.99907,0.97412,0.9955,0.99905,0.99448,0.95587,0.99995,1,0.98,0.99999,1
41697,0.96125,0.96234,0.9592,0.92686,0.93814,0.95699,0.9489,0.93624,0.91768,0.95183,0.99109,0.95398,0.99325,0.96006
17223,0.92228,0.96049,0.93653,0.99481,0.89825,0.90257,0.92826,0.88133,0.90877,1,0.98482,0.92507,0.8882,0.91442
29639,0.98004,0.98781,0.98469,0.99791,0.99337,0.9822,0.99442,0.98097,0.98648,0.9961,0.99,0.965,0.98807,0.94772
21952,0.98665,0.98606,0.98709,0.98889,0.97188,0.96856,0.99097,0.98645,0.9463,1,1,0.97028,0.97405,0.96109
47852,0.95141,0.92542,0.94716,0.90981,0.93541,0.94144,0.92215,0.9233,0.97515,0.94077,0.98055,0.94562,0.95808,0.90447
41341,0.99767,0.99934,0.99243,0.99982,0.99978,0.99952,1,0.99274,0.98877,1,1,0.98,0.94917,0.89888
24223,0.93671,0.95597,0.94741,0.92554,0.93664,0.9536,0.88241,0.94719,0.96681,0.91258,0.98802,0.9486,0.97249,0.8586
28815,0.99846,0.99961,0.99849,0.99944,0.99953,0.99824,0.99979,0.99802,0.99998,0.99992,1,0.99839,0.99457,0.94708
48443,0.88715,0.91367,0.96216,0.97734,0.8937,0.85257,0.99976,0.93944,0.9409,0.99149,1,0.88301,0.96357,0.77628
37670,0.99967,0.99976,0.9997,0.99988,0.99974,0.99923,0.99955,0.99951,0.99975,0.99982,1,1,0.99635,0.97626
11269,0.96589,0.97997,0.97618,0.976,0.97032,0.96806,0.98895,0.96462,0.97925,0.9794,0.97913,0.98388,0.98568,0.92877
9665,0.99883,0.99875,0.9985,0.99976,0.99951,0.99753,0.99994,0.99731,0.99932,0.99982,1,0.99862,0.99846,0.96656
36975,0.99152,0.96746,0.9965,0.98774,0.98677,0.95257,0.99901,0.94999,0.97568,0.98883,0.99567,0.954,0.80135,0.79156
28515,0.99488,0.99693,0.99486,0.99589,0.98723,0.99248,0.99263,0.9932,0.99064,0.99922,1,1,0.98875,0.95575
40864,0.9769,0.99523,0.96959,0.98222,0.98417,0.98211,0.98221,0.99299,0.95103,0.99459,0.99935,0.95924,0.97994,0.95071
27150,0.99868,0.99944,0.99948,0.99998,0.99986,0.99759,0.9998,0.99884,0.9984,0.99989,1,1,0.99852,0.98912
14753,0.94377,0.97547,0.96891,0.96989,0.9656,0.93552,0.96818,0.99681,0.9774,0.96076,0.99,0.98108,0.97246,0.80252
43713,0.99221,0.9602,0.85732,0.97443,0.96007,0.9968,0.98193,0.97129,0.93151,0.9946,0.96043,0.78948,0.96993,0.81569
47124,0.90463,0.94033,0.96191,0.91871,0.81806,0.93157,0.97551,0.99849,0.93402,1,0.99928,0.9667,0.98153,0.8973
19905,0.95235,0.97972,0.96998,0.96993,0.95565,0.97705,0.97596,0.97356,0.97222,0.94159,0.89806,0.88295,0.96433,0.93014
20625,0.9971,0.98419,0.99742,0.99856,0.99132,0.98518,0.99948,0.99957,0.9952,0.99857,0.98,1,0.99545,0.83593
19420,0.99929,0.99958,0.99927,0.99953,0.99677,0.99859,0.99752,0.99855,0.99862,0.9992,1,1,0.99895,0.97208
45474,0.98025,0.97982,0.95705,0.99407,0.98622,0.94405,0.98451,0.94192,0.96012,1,0.97671,0.99191,0.9781,0.91533
5105,0.99591,0.99576,0.99861,0.99933,0.99899,0.99657,0.99668,0.99689,0.99131,0.99881,0.97857,0.99631,0.9634,0.87357
30786,0.91503,0.93605,0.92485,0.90653,0.89761,0.95262,0.92572,0.85491,0.85144,0.84035,0.91915,0.80656,0.97834,0.93108
39754,0.98924,0.99652,0.99972,0.99788,0.98911,0.98394,0.99805,0.98823,0.99305,0.99465,0.98412,0.97319,0.9285,0.77948
43611,0.99443,0.99253,0.95488,0.98285,0.99308,0.9568,0.97694,0.91382,0.97821,0.99879,0.98,0.94286,0.98184,0.9015
3567,0.99522,0.9966,0.99426,0.99747,0.99836,0.98985,0.99732,0.98997,0.98484,0.99788,0.99995,0.99778,0.98572,0.95398
28029,0.98607,0.98291,0.9827,0.98834,0.99251,0.97779,0.98985,0.98501,0.99187,0.98219,0.94539,0.96479,0.9881,0.94595
37430,0.99896,0.99903,0.99862,0.99999,0.99992,0.99834,0.99949,0.99822,0.99449,0.99949,1,1,0.99719,0.97043
40327,0.99586,0.9978,0.99728,0.99841,0.99734,0.99773,0.99812,0.99656,0.99949,0.99964,0.99333,0.96,0.99954,0.993
11271,0.98397,0.99353,0.99063,0.98883,0.94116,0.98778,0.98803,0.98681,0.99263,0.9907,0.98671,0.98533,0.94924,0.84937
45316,0.97266,0.9636,0.96248,0.97634,0.97842,0.96084,0.97218,0.97101,0.98592,0.99235,0.98724,0.98208,0.91596,0.78642
33501,0.97623,0.98209,0.97052,0.96642,0.883,0.97769,0.89757,0.97607,0.93586,0.98595,0.985,0.96415,0.96257,0.93582
26263,0.93279,0.95803,0.95401,0.93305,0.97653,0.93321,0.98163,0.9878,0.93687,0.91682,0.97841,0.89972,0.99886,0.79802
26646,0.97813,0.99815,0.97167,0.98177,0.95094,0.98337,0.99263,0.94141,0.97746,1,0.99333,0.91487,0.89101,0.89873
27973,0.9915,0.995,0.9892,0.97488,0.99094,0.98566,0.98713,0.98987,0.9675,0.98109,0.99625,0.9905,0.97987,0.92295
1678,0.99853,0.99619,0.99816,0.99896,0.99307,0.99232,0.99803,0.99974,0.99835,0.99956,1,1,0.93123,0.93123
926,0.96274,0.92183,0.91787,0.93895,0.97491,0.9705,0.96448,0.99047,0.91311,0.88244,0.95403,0.82522,0.93082,0.77931
33388,0.99031,0.99477,0.99173,0.99439,0.92916,0.97182,0.97919,0.98987,0.9012,0.99522,0.95614,0.96667,0.96097,0.83756
30658,0.99972,0.99968,0.99931,0.99968,0.99915,0.99865,0.99844,0.99865,0.99989,0.99855,1,0.9775,0.99722,0.95168
5262,0.94536,0.96444,0.9963,0.88067,0.87902,0.96298,0.96171,0.81983,0.99201,0.97628,0.97333,0.896,0.95765,0.787
38659,0.9996,0.98944,0.9899,0.99887,0.97901,0.98797,0.99594,0.99375,0.95478,1,0.99875,0.99789,0.98611,0.9843
26714,0.99487,0.99746,0.99613,0.9972,0.99778,0.99515,0.99585,0.99437,0.99853,0.99844,0.99973,0.98532,0.97226,0.94419
42650,0.99793,0.99574,0.9707,0.97692,0.99244,0.99177,0.99056,0.97941,0.97925,1,0.98,0.99497,0.92269,0.97913
25371,0.99696,0.99819,0.99739,0.99841,0.9965,0.99295,0.99755,0.99785,0.99799,0.99998,0.99996,0.99406,0.99861,0.98751
2511,0.97608,0.94389,0.99843,0.9574,0.99623,0.94524,0.98916,0.949,0.99064,1,0.98,0.9151,0.89392,0.87263
14465,0.9909,0.98825,0.97969,0.98054,0.96952,0.98746,0.97901,0.99288,0.98352,0.98176,0.99993,0.956,0.9447,0.95097
18042,0.96779,0.9458,0.95676,0.96404,0.88703,0.93557,0.97396,0.94961,0.89045,1,0.98382,0.99281,0.90451,0.83436
14982,0.99775,0.99593,0.98862,0.99892,0.9948,0.99159,0.99959,0.99106,0.98914,0.99593,1,0.97836,0.97835,0.87034
6376,0.94623,0.87878,0.97295,0.95635,0.95522,0.87499,0.98955,0.90497,0.96485,1,0.98163,0.9432,0.90586,0.85504
20951,0.99771,0.99475,0.999,0.99933,0.99553,0.98916,0.99968,0.99985,0.99525,0.99803,0.98,0.92006,0.94487,0.80163
16795,0.98318,0.99049,0.98727,0.99458,0.97279,0.98331,0.98297,0.982,0.98827,0.99676,0.99132,0.98518,0.97831,0.89438
47709,0.99963,0.99965,0.99963,0.99991,0.99984,0.99922,0.99967,0.9992,0.99961,0.99997,0.99995,1,0.99431,0.96348
20616,0.97474,0.90992,0.90194,0.99792,0.94788,0.86798,0.95667,0.9119,0.93904,1,0.99606,0.91325,0.85188,0.85498
21787,0.99944,0.99956,0.99923,0.9995,0.99925,0.99854,0.99899,0.99838,0.99948,0.99971,1,1,0.99831,0.97606
