ID,SE_1,GBM_1,XRT_1,DRF_1,DL_1,GLM_1,SE_2,GBM_2,XRT_2,DRF_2,DL_2,GLM_2,SE_3,GBM_3,DL_3,XRT_3,DRF_3,GLM_3,SE_4,GBM_4,XRT_4,DRF_4,DL_4,GLM_4
41336,0.92836,0.91515,0.99808,0.92589,0.82136,0.86068,0.91378,0.88786,0.99831,0.94917,0.84802,0.88474,0.90217,0.89842,0.59388,0.93593,0.8066,0.8604,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
6384,0.9971,0.99775,1,0.99973,0.9993,0.96575,0.9957,0.99424,0.99866,0.99994,0.99435,0.94874,0.99618,0.99737,0.983,0.99866,0.99956,0.93802,0.97904,0.97714,0.98591,0.96919,0.98171,0.92656
44415,0.96023,0.94773,0.97356,0.97237,0.95434,0.84876,0.9366,0.91979,0.98529,0.92371,0.86127,0.92613,0.96523,0.9535,0.86162,0.97546,0.98568,0.91268,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
2571,0.96969,0.95657,0.98435,0.88992,0.80656,0.78442,0.95337,0.91791,0.97717,0.9071,0.85757,0.89888,0.91409,0.97717,0.61813,0.92685,0.66492,0.87515,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
7110,0.92833,0.92285,0.92498,0.90281,0.95918,0.79909,0.91429,0.89607,0.95823,0.85594,0.93802,0.88473,0.98258,0.99644,0.99755,0.87948,0.74019,0.86114,0.96809,0.9646,0.99012,0.96641,0.95494,0.89132
6613,0.99918,0.99873,1,0.99714,0.99958,0.9825,0.99965,0.9995,1,1,0.99988,0.97622,0.99914,0.99996,0.99674,1,0.99907,0.97039,0.99677,0.99685,0.99833,0.99778,0.99548,0.95049
8467,0.95297,0.92005,0.97977,0.96689,0.95091,0.92537,0.94509,0.91186,0.99142,0.99151,0.82408,0.90965,0.95593,0.98765,0.70078,0.95148,0.85387,0.89062,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
47081,0.99465,0.99757,0.97333,0.95941,0.99995,0.97072,0.99827,0.99799,0.97917,0.88,0.99694,0.96501,0.99741,0.99871,0.98825,1,0.99507,0.95266,0.94663,0.93162,0.93386,0.90656,0.99564,0.96851
27267,0.98522,0.95202,1,0.93,0.989,0.82026,0.99765,0.99368,1,0.9,0.94767,0.93245,0.99868,0.99468,0.90565,0.92624,0.83986,0.86227,0.99461,0.98319,0.99593,0.83325,0.95945,0.87957
29974,0.99962,0.99943,1,1,0.99974,0.97527,0.99979,0.99967,1,1,0.99914,0.968,0.99904,0.99963,0.99452,1,0.99991,0.96069,0.99677,0.99685,0.99833,0.99778,0.99548,0.95049
22469,0.98067,0.99582,0.96878,0.88143,0.80926,0.9336,0.9966,0.97835,0.9574,0.98468,0.96304,0.93448,0.93026,0.9335,0.7107,0.89681,0.81216,0.91271,0.99865,0.98004,0.90661,0.79336,0.93597,0.93196
19359,0.99999,0.99965,0.98,0.99972,0.99982,0.97351,0.99914,0.99922,0.99896,1,0.99773,0.97334,0.99666,0.99936,0.99397,0.9887,0.99916,0.96519,0.99677,0.99685,0.99833,0.99778,0.99548,0.95049
27710,0.96395,0.97855,0.98824,0.99271,0.98205,0.85139,0.94846,0.92551,0.98588,0.93798,0.98827,0.8662,0.972,0.99036,0.78252,0.99543,0.99533,0.84148,0.97811,0.98285,1,0.78753,0.92437,0.85694
40076,0.99749,0.99087,1,0.97613,0.99536,0.95331,0.99119,0.99294,0.97917,0.95748,0.9933,0.94464,0.99326,0.99724,0.98061,1,0.99205,0.93899,0.99625,0.98799,0.95129,0.92508,0.95068,0.93495
5007,0.9987,0.99857,1,0.98,0.99884,0.99625,0.99915,0.99835,1,1,0.9919,0.98765,0.91574,0.94166,0.63535,0.88829,0.79045,0.83484,0.97698,0.99777,1,0.75427,0.83934,0.86739
20831,0.99671,0.99582,1,0.96,0.99541,0.78409,0.99155,0.99023,1,0.98,0.92604,0.8527,0.95799,0.99125,0.70079,0.96429,0.92761,0.88835,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
40347,0.99868,0.99787,1,0.99975,0.99923,0.95223,0.99916,0.99914,1,1,0.99701,0.95706,0.99824,0.99874,0.98879,1,1,0.94179,0.99143,0.99445,0.98464,0.97452,0.99761,0.93639
31792,0.9991,0.99861,1,1,0.99995,0.97109,0.9987,0.99941,0.99819,1,0.99947,0.97811,0.99852,0.99951,0.99779,1,0.99916,0.9722,0.9938,0.99856,0.99162,0.98553,0.99253,0.95525
29337,0.95658,0.92482,0.93399,0.92763,0.99392,0.84574,0.98668,0.98432,0.97973,0.97406,0.99811,0.94384,0.99765,0.99378,0.98278,0.95436,0.91489,0.92916,0.99547,0.99035,1,0.99882,0.99463,0.94514
15124,0.99482,0.99542,0.99964,0.98917,0.99844,0.92751,0.99763,0.99819,0.99983,0.99905,0.99478,0.95288,0.99626,0.99806,0.99168,0.99869,0.99496,0.93991,0.99677,0.99685,0.99833,0.99778,0.99548,0.95049
40590,0.99605,0.96947,0.99724,0.97747,0.99097,0.78484,0.94933,0.92376,0.99814,0.87698,0.94684,0.86273,0.9628,0.98569,0.82739,0.96046,0.9357,0.84604,0.97811,0.98285,1,0.78753,0.92437,0.85694
47650,0.98941,0.98418,0.98328,0.99262,0.97204,0.97695,0.97484,0.93707,0.98739,0.96773,0.88455,0.87161,0.92204,0.95759,0.64266,0.98811,0.96847,0.84638,0.98059,0.99468,1,0.75584,0.88274,0.86486
17331,0.94848,0.9476,0.97917,0.94448,0.86213,0.8505,0.95837,0.94301,0.99339,0.94664,0.95189,0.85336,0.91369,0.90071,0.73325,0.96699,0.83944,0.83473,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
19354,0.9982,0.99716,1,0.99667,0.99931,0.97702,0.99811,0.99877,0.99905,0.99818,0.99971,0.97355,0.99808,0.99911,0.99473,0.99951,0.99585,0.96347,0.99677,0.99685,0.99833,0.99778,0.99548,0.95049
24972,0.91645,0.89726,0.98647,0.88661,0.76561,0.86155,0.92433,0.89246,0.9948,0.90566,0.81197,0.86464,0.9436,0.96419,0.63715,0.99846,0.99703,0.84398,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
15310,0.99975,0.99767,1,0.985,0.99976,0.99917,0.9957,0.99868,0.96875,0.88,0.99758,0.99864,0.99354,0.99712,0.98805,0.98085,0.9817,0.94775,0.99677,0.99685,0.99833,0.99778,0.99548,0.95049
11888,0.98264,0.95879,0.98375,0.90103,0.96518,0.77792,0.99771,0.93903,0.99972,0.90347,0.98413,0.86649,0.99903,0.97911,0.95696,0.98152,0.89241,0.91524,0.98647,0.98476,0.98487,0.97624,0.99541,0.90924
30976,0.91961,0.90353,0.97121,0.90203,0.82835,0.83552,0.9021,0.85542,0.98658,0.85972,0.74006,0.85809,0.908,0.91946,0.64436,0.92993,0.78939,0.84043,0.95124,0.9768,1,0.78094,0.77764,0.87452
13631,0.99921,0.99805,1,1,0.99913,0.99215,0.99703,0.99455,1,1,0.99678,0.98538,0.91046,0.88469,0.69392,0.9391,0.79055,0.84737,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
25633,0.96958,0.94479,0.96353,0.86734,0.84056,0.77639,0.93949,0.89166,0.99001,0.86706,0.82734,0.90864,0.95338,0.98765,0.68224,0.94213,0.83017,0.88843,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
27325,0.92927,0.88084,0.99895,0.98151,0.85853,0.77895,0.91868,0.89031,0.99107,0.85835,0.93839,0.85591,0.93255,0.94495,0.78308,0.91627,0.78901,0.83622,0.97811,0.98285,1,0.78753,0.92437,0.85694
31897,0.99947,0.99556,0.95708,0.94147,0.87835,0.96584,0.96572,0.92543,0.99626,0.89493,0.87871,0.9629,0.95577,0.9289,0.9761,0.99434,0.94863,0.95596,0.87738,0.8543,0.9213,0.87009,0.91102,0.96125
6956,0.99167,0.98184,0.98,0.90851,0.88249,0.78248,0.99769,0.99423,1,0.84467,0.88982,0.83032,0.91704,0.94728,0.58509,0.9667,0.80733,0.86865,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
35183,0.97674,0.97601,0.96182,0.99,0.95281,0.91036,0.96241,0.93961,1,0.92507,0.99058,0.91935,0.96248,0.98155,0.84953,0.91135,0.90777,0.89423,0.99909,0.95128,0.97785,0.8718,0.91538,0.93445
8959,0.9335,0.93113,0.98762,0.86363,0.77702,0.78493,0.89102,0.86349,0.98541,0.90684,0.89932,0.88449,0.90485,0.89826,0.61492,0.93732,0.77061,0.85841,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
29271,0.94268,0.94823,0.98257,0.96881,0.98629,0.85653,0.94989,0.92271,0.97917,0.97044,0.91299,0.84595,0.94627,0.97725,0.77814,0.9474,0.8643,0.83209,0.97811,0.98285,1,0.78753,0.92437,0.85694
13492,0.99816,0.99497,1,1,0.99379,0.951,0.99859,0.99796,1,0.99944,0.98148,0.90161,0.9925,0.99592,0.93248,0.99803,0.99988,0.88832,0.9678,0.96768,0.98629,0.97414,0.94571,0.86884
19412,0.99801,0.99734,0.996,0.99714,0.99906,0.9718,0.99951,0.99878,0.97118,0.9042,0.99936,0.97281,0.99998,0.99974,0.9954,0.99947,0.99668,0.96558,0.99677,0.99685,0.99833,0.99778,0.99548,0.95049
9666,0.95664,0.97241,0.96256,0.9679,0.85261,0.79485,0.93068,0.90885,0.99206,0.93689,0.97162,0.89426,0.9772,0.98997,0.83905,0.97193,0.99316,0.87313,0.97698,0.99777,1,0.75427,0.83934,0.86739
5087,0.99642,0.99331,0.98,0.97333,0.99992,0.99592,0.98166,0.94298,0.96224,0.91829,0.90907,0.94455,0.999,0.94484,0.92206,0.91326,0.78936,0.93648,0.97912,0.92561,0.98265,0.88942,0.9144,0.9264
35588,0.99847,0.99755,1,1,0.99949,0.97661,0.99862,0.99726,0.99306,0.99949,0.99395,0.94735,0.99358,0.99853,0.98368,0.99897,0.97503,0.93208,0.98445,0.98752,0.9666,0.9275,0.99931,0.9394
10727,0.99039,0.96793,0.98,0.95217,0.98623,0.78631,0.993,0.95265,0.98611,0.96712,0.91722,0.83038,0.94078,0.9838,0.62558,0.95724,0.73894,0.85441,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
27541,0.99777,0.99717,1,0.98,0.95815,0.90789,0.99674,0.99419,1,0.98,0.98613,0.86412,0.89866,0.88544,0.67361,0.9698,0.84161,0.86547,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
23920,0.99961,0.99948,1,1,0.99996,0.96861,0.99986,0.99977,1,1,0.99905,0.96703,0.99933,0.99967,0.99416,1,1,0.95992,0.99937,0.99719,1,0.9982,0.99736,0.9464
34079,0.99743,0.99579,0.99703,0.97333,0.9992,0.97156,0.99855,0.99911,0.99905,0.99868,0.99978,0.97425,0.99876,0.9997,0.99507,0.95546,0.90422,0.96453,0.99677,0.99685,0.99833,0.99778,0.99548,0.95049
43766,0.99498,0.9941,0.98,0.99333,0.99413,0.95884,0.98623,0.97905,1,0.93043,0.97641,0.91438,0.97726,0.96932,0.88477,0.98773,0.95826,0.89691,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
36778,0.97264,0.96724,0.99824,0.99448,0.93135,0.93021,0.96231,0.94434,0.99643,0.99184,0.98309,0.86272,0.92502,0.95475,0.71174,0.94918,0.82929,0.83714,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
12700,0.99589,0.99476,0.99953,0.99892,0.99968,0.97163,0.99575,0.99662,0.99928,0.99893,0.98772,0.96964,0.98826,0.99353,0.99129,1,0.99113,0.95735,0.98872,0.98255,0.99088,0.98494,0.9971,0.96009
4725,0.9435,0.92865,0.99901,0.9112,0.86976,0.87294,0.95489,0.91539,0.98859,0.89273,0.83424,0.88957,0.91059,0.92504,0.58376,0.96629,0.81535,0.86654,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
29102,0.91029,0.90035,0.97815,0.90366,0.81909,0.87374,0.91094,0.88196,0.9948,0.93183,0.87955,0.87539,0.90617,0.89811,0.66828,0.93343,0.78442,0.85086,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
5179,0.99431,0.99225,0.98,0.96876,0.98842,0.9279,0.99535,0.99316,0.99479,0.9975,0.98615,0.93582,0.97494,0.96964,0.9798,0.99168,0.9442,0.9246,0.98401,0.98123,1,0.9883,0.94626,0.94796
1650,0.9329,0.9149,0.96546,0.92645,0.99449,0.92019,0.95148,0.91167,0.97601,0.87416,0.89303,0.9044,0.9214,0.98368,0.6873,0.92874,0.68964,0.88169,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
220,0.9392,0.96006,0.92362,0.8016,0.87388,0.83876,0.95251,0.94863,0.97147,0.95783,0.94379,0.93049,0.9522,0.96219,0.80119,0.95117,0.86466,0.90856,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
21251,0.91132,0.87735,0.96922,0.94964,0.84583,0.87677,0.8995,0.854,0.98658,0.861,0.66458,0.86803,0.90512,0.89811,0.68113,0.93625,0.76285,0.84909,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
1583,0.99924,0.99959,0.99,0.9995,0.99854,0.95276,0.99961,0.99932,1,1,0.99992,0.9817,0.9996,0.99997,0.99769,1,1,0.97817,0.9972,0.99721,0.99766,0.99363,0.99833,0.96214
22737,0.99873,0.99856,1,0.97756,0.99898,0.97017,0.99946,0.99896,1,1,0.99957,0.96491,0.99566,0.99953,0.98804,0.99809,0.99922,0.95453,0.99954,0.99446,0.97424,0.92933,0.98779,0.93915
33458,0.99632,0.99615,1,0.95985,0.99878,0.95933,0.99749,0.99754,0.9984,0.99778,0.99893,0.96096,0.99152,0.99621,0.99103,0.99858,0.98476,0.95341,0.98872,0.98255,0.99088,0.98494,0.9971,0.96009
46964,0.99776,0.99978,1,0.88133,0.99625,0.88717,0.99677,0.99819,1,0.88333,0.90498,0.84071,0.9382,0.99872,0.57845,0.93535,0.80146,0.84754,0.97698,0.99777,1,0.75427,0.83934,0.86739
3863,0.99299,0.9866,0.99618,0.99729,0.97932,0.90329,0.98973,0.98097,0.98513,0.97455,0.93698,0.83967,0.95158,0.95142,0.93024,0.99572,0.96684,0.82881,0.9678,0.96768,0.98629,0.97414,0.94571,0.86884
21623,0.99721,0.99487,0.99899,0.99997,0.89048,0.87143,0.99598,0.99445,1,0.98421,0.92956,0.86092,0.97726,0.96932,0.88477,0.98773,0.95826,0.89691,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
24044,0.98063,0.98208,0.9925,0.99567,0.99517,0.98653,0.8924,0.90694,0.88833,0.8354,0.98114,0.91687,0.87636,0.89722,0.78584,0.96437,0.93508,0.89298,0.94049,0.92674,0.9716,0.92892,0.96709,0.9399
19360,0.94342,0.94982,0.99578,0.97484,0.8644,0.81673,0.94241,0.91756,0.98373,0.99956,0.97449,0.9049,0.96772,0.97406,0.8337,0.96404,0.97583,0.885,0.95124,0.9768,1,0.78094,0.77764,0.87452
20232,0.99556,0.99823,1,0.98639,0.99312,0.77653,0.99558,0.99265,0.97917,0.96,0.98335,0.84394,0.98863,0.98939,0.98618,0.99898,0.99117,0.91088,0.96933,0.96726,0.97396,0.94187,0.97666,0.91806
41904,0.99669,0.99603,0.98,0.98,0.98487,0.95949,0.99686,0.99595,1,0.98,0.99456,0.98457,0.94332,0.94389,0.68174,0.96448,0.84392,0.8475,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
12736,0.98671,0.98477,1,0.92,0.98095,0.90387,0.99182,0.98867,1,0.98,0.9082,0.8333,0.95038,0.99742,0.7476,0.95745,0.83442,0.91359,0.97414,0.94856,0.90956,0.79309,0.83368,0.89115
46775,0.99929,0.99957,1,0.99947,0.99987,0.97536,0.99966,0.99948,1,1,0.99783,0.96817,0.99924,0.99929,0.99286,0.9999,0.99972,0.96037,0.99775,0.99464,1,0.99969,0.99843,0.96
13738,0.84207,0.78995,0.9858,0.92753,0.98964,0.78123,0.91419,0.94479,0.99424,0.89333,0.93224,0.83246,0.97491,0.95227,0.9399,0.84798,0.45959,0.90282,0.98647,0.98476,0.98487,0.97624,0.99541,0.90924
45566,0.99428,0.99533,1,0.93,0.99902,0.99846,0.9945,0.99293,1,0.9,0.99898,0.99792,0.91014,0.90516,0.73912,0.96026,0.81172,0.83036,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
39651,0.95615,0.93842,0.97333,0.93346,0.85901,0.80686,0.94815,0.91849,0.97173,0.88163,0.81229,0.87782,0.94738,0.98569,0.75218,0.93789,0.87323,0.85579,0.96458,0.96612,1,0.74429,0.90433,0.86145
7405,0.99631,0.99589,0.995,0.9614,0.99976,0.98826,0.9911,0.99003,1,0.98,0.9829,0.96937,0.96959,0.94279,0.94379,0.95957,0.97959,0.95324,0.99547,0.99184,1,1,0.99637,0.97924
8164,0.88723,0.88479,0.9721,0.91091,0.82147,0.8669,0.86795,0.82043,0.9855,0.88196,0.80307,0.87035,0.89443,0.91931,0.60793,0.91273,0.74922,0.84662,0.95124,0.9768,1,0.78094,0.77764,0.87452
21116,0.99774,0.99678,1,0.98,0.9997,0.99238,0.99702,0.99724,1,0.99903,0.99727,0.97484,0.99619,0.99927,0.9962,0.99927,0.9995,0.96769,0.98872,0.98255,0.99088,0.98494,0.9971,0.96009
19120,0.99275,0.9898,1,0.97448,0.98118,0.97216,0.94324,0.93055,0.99306,0.90342,0.88437,0.89787,0.92432,0.95444,0.62252,0.94615,0.82719,0.87507,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
5752,0.99566,0.98948,0.97,1,0.99177,0.96439,0.99308,0.97987,1,0.98,0.98588,0.95439,0.99674,0.99456,0.93845,0.97872,0.95718,0.94322,0.98951,0.97112,0.96825,0.87612,0.91024,0.90907
28185,0.99257,0.99226,0.98,0.80633,0.97327,0.89464,0.98593,0.9811,0.97917,0.96228,0.8767,0.85483,0.90266,0.90831,0.6733,0.9562,0.85091,0.83325,0.95124,0.9768,1,0.78094,0.77764,0.87452
10749,0.97296,0.96673,0.94,0.95881,0.95033,0.87915,0.94045,0.96733,0.95833,0.96,0.83572,0.8558,0.96954,0.9703,0.95768,0.99969,0.98927,0.8847,0.93734,0.93208,0.94647,0.92008,0.95712,0.90965
737,0.8894,0.88485,0.96934,0.91515,0.84748,0.83945,0.8759,0.83541,0.98359,0.91396,0.9603,0.84538,0.91513,0.939,0.65228,0.90009,0.80159,0.82955,0.96458,0.96612,1,0.74429,0.90433,0.86145
35506,0.94365,0.95154,0.99295,0.767,0.94156,0.83613,0.98955,0.98762,0.99531,0.95643,0.98704,0.94032,0.9754,0.99248,0.96678,0.91703,0.8938,0.92194,0.97904,0.97714,0.98591,0.96919,0.98171,0.92656
40570,0.97027,0.95049,0.96,0.9887,0.98054,0.87531,0.95128,0.97219,0.99826,0.88333,0.96743,0.89989,0.95103,0.94023,0.89271,0.95471,0.94844,0.87027,0.98791,0.99515,0.97814,0.97563,0.91321,0.85778
16048,0.97726,0.97215,1,0.95597,0.96524,0.80737,0.98867,0.98428,1,0.98036,0.97858,0.89117,0.98422,0.99036,0.92819,0.99789,0.99207,0.88175,0.9678,0.96768,0.98629,0.97414,0.94571,0.86884
30602,0.98867,0.99122,0.99136,0.91422,0.99905,0.97609,0.96866,0.94314,0.95833,0.88733,0.99878,0.97313,0.99403,0.99636,0.99409,0.98285,0.95212,0.96672,0.95507,0.94534,0.93449,0.87531,0.99492,0.97211
48363,0.92401,0.9199,0.98998,0.95519,0.83539,0.85643,0.89037,0.85916,0.98749,0.88332,0.91982,0.87886,0.91305,0.89845,0.65552,0.9468,0.81098,0.85268,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
13463,0.99434,0.99241,0.99728,0.99445,0.99956,0.94909,0.99073,0.9892,0.97546,0.99527,0.98808,0.9417,0.97133,0.98524,0.97225,0.93527,0.86128,0.92384,0.97904,0.97714,0.98591,0.96919,0.98171,0.92656
6952,0.99343,0.99167,1,0.99926,0.9924,0.91746,0.99355,0.99083,0.99598,0.99632,0.99027,0.9457,0.99503,0.99125,0.97774,0.98249,0.92693,0.92938,0.97904,0.97714,0.98591,0.96919,0.98171,0.92656
18224,0.9987,0.99994,1,0.89333,0.98788,0.77641,0.99816,0.99738,1,0.96,0.98438,0.83398,0.9695,0.96934,0.87211,0.96242,0.78356,0.91287,0.95382,0.9561,0.90853,0.85048,0.97861,0.9494
21353,0.94429,0.93179,0.98441,0.93484,0.92337,0.94885,0.92804,0.91587,0.9887,0.919,0.82203,0.83629,0.91233,0.92732,0.63209,0.9065,0.80381,0.82805,0.97698,0.99777,1,0.75427,0.83934,0.86739
19514,0.97824,0.97849,0.99042,0.95282,0.97233,0.84616,0.98528,0.9783,0.99369,0.99696,0.92718,0.85298,0.93111,0.94098,0.91163,0.93573,0.94206,0.83713,0.9678,0.96768,0.98629,0.97414,0.94571,0.86884
11738,0.99843,0.99746,1,0.99675,0.99969,0.9579,0.99876,0.99915,1,1,0.99728,0.95796,0.99769,0.99846,0.98858,0.99912,0.99893,0.94588,0.97904,0.97714,0.98591,0.96919,0.98171,0.92656
33020,0.9889,0.98982,0.92,0.88225,0.93646,0.83052,0.99364,0.9948,0.9375,0.892,0.99209,0.9297,0.97605,0.97447,0.97495,0.91184,0.9031,0.91956,0.9476,0.96829,0.76131,0.5522,0.98104,0.92318
3485,0.99798,0.99651,0.9975,1,0.99682,0.94269,0.99781,0.9984,0.99983,1,0.99977,0.97673,0.99741,0.99852,0.99593,1,0.99982,0.96671,0.98872,0.98255,0.99088,0.98494,0.9971,0.96009
29850,0.99957,0.99907,1,1,0.99984,0.98694,0.9996,0.99927,1,1,0.99959,0.9767,0.99936,0.99974,0.99702,1,0.99996,0.97264,0.99958,0.99909,1,0.99983,0.99824,0.96418
37988,0.97615,0.9672,1,0.99782,0.95515,0.95334,0.96887,0.95187,0.97173,0.92667,0.98223,0.94853,0.97179,0.99144,0.91909,0.93617,0.98886,0.93431,0.9822,0.97484,0.96667,0.75961,0.91605,0.93902
20562,0.99848,0.99838,0.98,0.99,0.99816,0.98786,0.99223,0.99272,0.97917,0.92,0.98673,0.93988,0.95554,0.93643,0.91,0.98404,0.99693,0.91841,0.96955,0.96402,0.96296,0.95588,0.99773,0.98166
46990,0.99846,0.99772,1,0.99675,0.99898,0.95323,0.99834,0.99848,0.99956,1,0.99415,0.95356,0.99566,0.99721,0.98402,0.99969,0.99895,0.93965,0.97904,0.97714,0.98591,0.96919,0.98171,0.92656
20682,0.99663,0.96821,0.99771,0.89333,0.99117,0.78023,0.99802,0.99972,0.97917,0.93,0.95601,0.83144,0.98503,0.98491,0.97652,0.92158,0.59235,0.89584,0.95382,0.9561,0.90853,0.85048,0.97861,0.9494
21857,0.98725,0.989,0.983,0.91593,0.94438,0.86698,0.99055,0.9841,0.97917,0.9631,0.96016,0.93333,0.98427,0.9843,0.92195,0.99311,0.99727,0.91981,0.99115,0.99218,0.99329,0.98346,0.9893,0.94208
16582,0.99964,0.99938,1,1,0.99974,0.97993,0.99947,0.99972,0.99702,1,0.99926,0.97942,0.99859,0.99981,0.99617,0.99911,0.99643,0.97468,0.98832,0.99103,0.98494,0.97855,0.99202,0.94897
22949,0.99805,0.9987,0.97402,0.92201,0.78559,0.94434,0.99878,0.99323,0.96938,0.94155,0.84197,0.94325,0.99471,0.97654,0.99862,0.99576,0.81661,0.92832,0.95382,0.9561,0.90853,0.85048,0.97861,0.9494
46793,0.98394,0.97915,0.98,0.98275,0.97486,0.85716,0.98784,0.98418,0.97917,0.99675,0.9772,0.88634,0.96655,0.98366,0.91305,0.96062,0.9051,0.86765,0.94195,0.90266,1,0.98995,0.93536,0.86153
6559,0.95703,0.94842,0.97989,0.97359,0.86255,0.78652,0.9026,0.86469,0.9886,0.86,0.69123,0.8868,0.91765,0.94728,0.58568,0.96889,0.82248,0.87077,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
26926,0.99973,0.99966,1,1,0.99996,0.98929,0.99988,0.9999,1,1,0.99997,0.98772,0.99951,0.99963,0.99878,1,1,0.98485,0.99931,0.99809,1,1,0.99915,0.97386
8061,0.98602,0.96062,0.97851,0.954,0.99443,0.93304,0.9665,0.94881,1,0.97167,0.84478,0.90281,0.97264,0.97774,0.87227,0.9766,0.99236,0.88857,0.97698,0.99777,1,0.75427,0.83934,0.86739
12009,0.97206,0.92788,0.98,0.94602,0.94524,0.83837,0.90765,0.85808,0.97917,0.81171,0.83993,0.91876,0.8977,0.94466,0.63869,0.90965,0.79853,0.90232,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
12324,0.99965,0.99901,1,0.98,0.98691,0.88656,0.99988,0.99742,0.97917,0.91333,0.98876,0.87629,0.98965,0.99016,0.97577,0.98276,0.99228,0.92572,0.97904,0.97714,0.98591,0.96919,0.98171,0.92656
