ID,GBM_2,GBM_5,GBM_3,GBM_4,GBM_grid_4,GBM_grid_2,GBM_grid_3,GBM_1,GBM_grid_1,GBM_grid_5,XRT_1,DRF_1,DL_1,GLM_1
19412,0.99865,0.99714,0.99871,0.99856,0.99456,0.99922,0.99855,0.99729,0.99869,0.99887,0.99778,0.99918,0.99899,0.97753
9666,0.92046,0.9602,0.97428,0.98999,0.9698,0.95632,0.92382,0.96785,0.93703,0.96019,0.98329,0.96889,0.96549,0.90176
5087,0.99799,0.99328,0.9946,0.98596,0.99174,0.99828,0.99908,0.99922,0.9911,0.99596,1,0.978,0.99789,0.99772
35588,0.99842,0.99573,0.99771,0.99747,0.99857,0.99614,0.99703,0.99805,0.99914,0.99722,1,1,0.99883,0.98706
10727,0.97831,0.97715,0.9991,0.99933,0.98257,0.95977,0.95667,0.97877,0.9932,0.99834,0.99224,0.99778,0.9261,0.90974
27541,0.99791,0.99789,0.99798,0.99614,0.99667,0.9991,0.99865,0.99948,0.99637,0.99905,1,0.96,0.97737,0.97638
23920,0.99997,0.99981,0.99967,0.9994,0.99993,0.99996,0.9999,0.99955,0.99961,0.99985,0.9998,1,0.9999,0.99264
34079,0.99828,0.99806,0.99831,0.99798,0.99916,0.99908,0.99838,0.99525,0.98493,0.99624,0.9994,0.98682,0.99882,0.97736
43766,0.994,0.99326,0.992,0.99354,0.97975,0.99356,0.98748,0.99009,0.9781,0.99469,0.99536,0.99491,0.9954,0.97742
36778,0.98188,0.97927,0.98213,0.99975,0.99934,0.98601,0.98027,0.99491,0.97227,0.99263,0.99077,0.97717,0.92533,0.96229
12700,0.99935,0.99657,0.99873,0.99438,0.99499,0.99536,0.99831,0.99721,0.99181,0.99783,1,0.98051,0.99964,0.98434
4725,0.95518,0.94382,0.97009,0.9476,0.94016,0.94414,0.96282,0.99327,0.96641,0.99918,0.90636,0.83231,0.93852,0.93381
29102,0.93476,0.97499,0.94283,0.9371,0.87501,0.94896,0.93035,0.93099,0.93354,0.84695,0.99325,0.93438,0.98382,0.93418
5179,0.99901,0.99895,0.99518,0.99542,0.99729,0.99748,0.98908,0.99927,0.99284,0.99944,1,1,0.99646,0.98209
1650,0.97424,0.92122,0.95678,0.94033,0.91322,0.97716,0.95238,0.93825,0.9985,0.83329,0.984,0.94341,0.96558,0.95712
220,0.96671,0.94977,0.94952,0.90306,0.99571,0.95371,0.9289,0.92848,0.98727,0.91039,0.92256,0.87549,0.99091,0.90575
21251,0.94439,0.96253,0.95005,0.96902,0.88629,0.94874,0.93591,0.98704,0.91109,0.98577,0.99504,0.96258,0.96549,0.93562
1583,0.99958,0.99908,0.9999,0.99986,0.99667,0.99981,0.99989,0.99963,0.99508,0.99943,1,1,0.99956,0.98349
22737,0.99874,0.99639,0.99659,0.99607,0.99819,0.99766,0.9981,0.99897,0.99713,0.99843,0.99,0.99895,0.99903,0.97631
33458,0.99924,0.99465,0.99454,0.99688,0.98914,0.99556,0.99764,0.99491,0.99014,0.99641,0.99778,1,0.99702,0.97768
46964,0.99751,0.99866,0.99256,0.99898,0.99797,0.99669,0.99141,0.99942,0.99653,0.99913,1,1,0.99448,0.9584
3863,0.99892,0.99917,0.99859,0.99903,0.99844,0.99753,0.99694,0.99831,0.99683,0.99907,1,0.99966,0.99216,0.97501
21623,0.99415,0.99268,0.99125,0.99597,0.98937,0.99349,0.98531,0.99727,0.98504,0.99356,0.99058,0.96899,0.96211,0.93309
24044,0.98977,0.99904,0.99673,0.98966,0.99415,0.99736,0.99974,0.99221,0.97517,0.99964,0.9764,0.98625,0.99649,0.99251
19360,0.95599,0.95018,0.97069,0.98876,0.95781,0.98118,0.92831,0.9609,0.73626,0.95829,1,0.9427,0.98659,0.90937
20232,0.99829,0.99386,0.99777,0.98824,0.99371,0.99423,0.98247,0.99552,0.99341,0.98345,0.98,0.96,0.97721,0.89967
41904,0.98923,0.99908,0.99828,0.99952,0.95302,0.99748,0.99275,0.99847,0.99395,0.99478,0.98,1,0.99836,0.98591
12736,0.9711,0.99379,0.98947,0.98788,0.98689,0.96207,0.9603,0.9916,0.97616,0.99112,0.98,0.98,0.99752,0.93349
46775,0.99997,0.99926,0.99962,0.99851,0.99997,0.99953,0.99927,0.99945,0.99887,0.99989,1,1,0.99956,0.99428
13738,0.96586,0.92534,0.91327,0.9425,0.92936,0.92198,0.93612,0.97427,0.89092,0.94401,0.9981,0.96028,0.64518,0.91878
45566,0.9979,0.99665,0.99736,0.99278,0.99745,0.99766,0.99984,0.99681,0.99778,0.99791,1,0.985,0.99888,0.99948
39651,0.9756,0.96141,0.9103,0.90495,0.93658,0.94442,0.95296,0.97959,0.78284,0.93326,0.99551,0.98466,0.99426,0.90571
7405,0.9957,0.99808,0.99263,0.99571,0.99799,0.99575,0.99506,0.99881,0.99974,0.99997,1,1,0.99849,0.99347
8164,0.96604,0.98298,0.96663,0.95053,0.96216,0.9457,0.97864,0.99836,0.96243,0.93386,0.99361,0.93913,0.95388,0.93097
21116,0.99847,0.99826,0.99923,0.99806,0.99954,0.99798,0.99818,0.99833,0.99575,0.9993,1,1,0.99951,0.99741
19120,0.98327,0.98986,0.99345,0.9583,0.99205,0.98635,0.98984,0.98824,0.99399,0.9978,1,0.89642,0.98165,0.98462
5752,0.99431,0.91211,0.98538,0.98046,0.98742,0.99335,0.97511,0.99659,0.99949,0.99,0.99526,0.94508,0.99818,0.98041
28185,0.9962,0.99752,0.99642,0.99915,0.99676,0.99695,0.99075,0.99455,0.99552,0.99851,0.98,1,0.99051,0.96142
10749,0.96598,0.98763,0.98811,0.91641,0.98792,0.99526,0.96583,0.98072,0.98112,0.98238,1,0.98,0.94299,0.95512
737,0.96337,0.99787,0.98413,0.97159,0.95651,0.96288,0.95656,0.98475,0.99206,0.9388,0.98253,0.93833,0.92591,0.91866
35506,0.96684,0.94438,0.92367,0.90547,0.93771,0.97308,0.97387,0.95837,0.91165,0.96554,0.975,0.94097,0.9813,0.91724
40570,0.97249,0.985,0.97328,0.97308,0.97853,0.98007,0.97581,0.96337,0.98104,0.9721,1,0.97178,0.94704,0.91941
16048,0.99249,0.98033,0.99837,0.99366,0.95752,0.98995,0.9843,0.99082,0.98151,0.99273,0.992,0.99815,0.98159,0.93775
30602,0.99798,0.99545,0.9972,0.99567,0.99016,0.99899,0.99465,0.99857,0.99938,0.98948,0.99805,0.99991,0.99967,0.99445
48363,0.9542,0.97011,0.94715,0.8786,0.93395,0.96787,0.9807,0.99212,0.9201,0.85752,0.96579,0.93708,0.97976,0.92616
13463,0.99677,0.99363,0.99339,0.98824,0.99057,0.99218,0.99672,0.99236,0.9901,0.99366,0.9983,0.9755,0.99868,0.9722
6952,0.99155,0.99382,0.99663,0.99074,0.99276,0.99396,0.99385,0.98883,0.99246,0.99648,0.99857,0.99979,0.9978,0.97916
18224,0.99433,0.99838,0.99674,0.99903,0.99425,0.99801,0.99157,0.9939,0.9863,0.99752,1,0.88714,0.97387,0.90815
21353,0.94699,0.99829,0.96703,0.86324,0.90026,0.97619,0.98826,0.97212,0.88914,0.95616,0.97488,0.99222,0.94988,0.97208
19514,0.99842,0.99654,0.99743,0.99743,0.99502,0.99363,0.99127,0.99919,0.98577,0.99779,1,0.99851,0.98951,0.95551
11738,0.99933,0.99911,0.99865,0.99921,0.99816,0.99962,0.99779,0.99914,0.99798,0.98871,0.99993,0.99738,0.99958,0.97691
33020,0.99842,0.9979,0.99962,0.99913,0.9981,0.99694,0.99532,0.99802,0.99792,0.99992,1,0.995,0.9517,0.94901
3485,0.99575,0.99644,0.99856,0.99583,0.99552,0.99674,0.99674,0.99711,0.99059,0.99504,0.99993,1,0.99519,0.97982
29850,0.99985,0.99935,0.99943,0.99922,0.99986,0.99988,1,0.99975,0.99965,0.99983,1,1,0.99983,0.99274
37988,0.9992,0.98646,0.96734,0.90365,0.95636,0.98453,0.96961,0.99894,0.95045,0.95696,0.92901,0.90971,0.97097,0.97447
20562,0.99937,0.99874,0.99841,0.99971,0.99722,0.99622,0.99784,0.9976,0.99807,0.9989,0.98,0.98,0.99656,0.99722
46990,0.9998,0.99889,0.99863,0.99942,0.9954,0.99962,0.99865,0.99845,0.99785,0.9765,0.99993,0.99738,0.99938,0.97441
20682,0.98819,0.99726,0.98507,0.98078,0.99168,0.99614,0.99934,0.98363,0.95537,0.99962,0.94,0.94238,0.93481,0.91757
21857,0.98583,0.99349,0.99121,0.99655,0.98772,0.99766,0.99066,0.99473,0.99087,0.99766,1,0.96,0.95237,0.93101
16582,0.99983,0.99982,0.99965,0.99946,0.99984,0.99992,0.99967,0.99945,0.9999,0.99963,0.9998,1,0.99992,0.99312
22949,0.85467,0.92373,0.85942,0.87273,0.78522,0.95138,0.8138,0.86106,0.86791,0.85475,0.88069,0.79225,0.85397,0.98651
46793,0.9895,0.99008,0.99242,0.9939,0.98104,0.98973,0.99482,0.99614,0.98539,0.9724,0.98,0.98,0.98112,0.92649
6559,0.95106,0.92579,0.9981,0.94615,0.99633,0.97847,0.911,0.9794,0.9632,0.9273,0.98911,0.90258,0.99622,0.89959
26926,0.99986,0.99978,0.99947,0.99925,0.99998,0.99993,0.99982,0.9994,0.9999,0.99974,1,1,0.99989,0.99635
8061,0.98959,0.82246,0.98933,0.96092,0.96904,0.98463,0.98298,0.9643,0.98939,0.98855,0.98727,0.98324,0.97398,0.96376
12009,0.96858,0.94035,0.92967,0.94423,0.99106,0.94686,0.93531,0.92431,0.95716,0.94691,0.98877,0.93328,0.94449,0.90564
12324,0.99638,0.99263,0.99557,0.99913,0.93508,0.99826,0.98666,0.99791,0.98837,0.99963,1,0.98,0.87068,0.92463
33195,0.82942,0.82241,0.84624,0.65234,0.88338,0.83891,0.79271,0.814,0.9333,0.95222,0.94873,0.97231,0.95649,0.9014
22984,0.99024,0.924,0.97989,0.91255,0.93749,0.99265,0.94402,0.94086,0.94364,0.9505,0.96948,0.98427,0.99078,0.90352
18944,0.98659,0.99054,0.99806,0.95159,0.98757,0.98384,0.99677,0.98431,0.94175,0.98984,1,0.98285,0.9581,0.94523
42520,0.99764,0.99484,0.99737,0.99821,0.99535,0.99763,0.99713,0.99073,0.99689,0.99746,1,0.97,0.9994,0.97859
30285,0.96342,0.96195,0.95734,0.85461,0.99917,0.93571,0.9512,0.99282,0.93175,0.94035,0.97531,0.95882,0.88897,0.90087
30173,0.98219,0.98135,0.97837,0.86154,0.95598,0.96122,0.98525,0.9639,0.9369,0.9257,0.98636,0.95206,0.92035,0.90018
13934,0.99549,0.99313,0.9999,0.99247,0.99647,0.99821,0.99769,0.98995,0.98845,0.99582,0.99978,0.97181,0.99595,0.97137
4082,0.99935,0.99566,0.98732,0.99231,0.98907,0.99557,0.99265,0.98875,0.9766,0.98827,0.99714,0.95118,0.99355,0.98141
9284,0.99952,0.99984,0.99954,0.99886,0.99899,0.99991,0.99983,0.99966,0.99997,0.99992,1,1,0.99989,0.99324
29322,0.99351,0.99312,0.99391,0.99043,0.99053,0.99493,0.99344,0.9972,0.99425,0.99429,0.98686,0.9848,0.97044,0.96368
34309,0.95564,0.96621,0.88924,0.95121,0.91054,0.95572,0.95269,0.9125,0.88726,0.88495,0.97709,0.85572,0.99439,0.89879
41018,0.99936,0.99586,0.99994,0.99805,0.99462,0.99068,0.99664,0.98879,0.99611,0.98453,0.95317,0.96346,0.97724,0.92931
37319,0.97554,0.9356,0.9617,0.9301,0.95096,0.94872,0.9368,0.98715,0.94245,0.9146,0.97469,0.84557,0.9991,0.90307
39644,0.99946,0.99962,0.99266,0.99571,0.99894,0.9991,0.99691,0.99582,0.98989,0.99845,1,0.98,0.99796,0.97689
832,0.99772,0.98697,0.98649,0.90742,0.99278,0.97997,0.99551,0.99297,0.99144,0.91813,0.96143,0.91371,0.95383,0.94475
40996,0.99986,0.99966,0.99955,0.99868,0.99992,0.99997,0.9997,0.99951,0.99942,0.99908,1,1,0.99993,0.9971
29610,0.96359,0.9838,0.99891,0.98333,0.95383,0.98764,0.95039,0.99982,0.9753,0.92454,0.99844,0.86239,0.95562,0.94533
38758,0.99958,0.9984,0.99926,0.99804,0.99939,0.99985,0.99915,0.99891,0.99931,0.99972,1,1,0.99949,0.99456
8355,0.99992,0.9996,0.99722,0.99745,0.99378,0.99984,0.99913,0.99864,0.99573,0.99952,1,1,0.99969,0.98858
20889,0.9937,0.99118,0.9918,0.99109,0.96576,0.98741,0.99244,0.97513,0.96136,0.97536,0.99787,0.99572,0.99412,0.96323
22890,0.98493,0.98441,0.98523,0.98641,0.96429,0.96395,0.97929,0.97723,0.96832,0.99285,0.96272,0.96297,0.97244,0.90484
37575,0.99968,0.99921,0.99941,0.99425,0.99215,0.99924,0.99591,0.99863,0.99262,0.99645,0.98333,0.99,0.99094,0.96579
17052,0.99976,0.99856,0.99703,0.99658,0.9972,0.99811,0.99762,0.99793,0.99687,0.99144,0.99333,0.99333,0.99988,0.99681
12159,0.99339,0.99905,0.99966,0.99882,0.9828,0.99877,0.99725,0.99846,0.99252,0.99949,0.98,0.98,0.99999,1
41697,0.97918,0.99028,0.98633,0.95851,0.99774,0.9873,0.98883,0.98121,0.92456,0.97395,0.99806,0.97325,0.99524,0.97809
17223,0.89745,0.90887,0.8701,0.90902,0.87195,0.94015,0.92955,0.89383,0.92804,0.76619,0.98737,0.99577,0.96868,0.95419
29639,0.99137,0.99213,0.98648,0.98644,0.98552,0.99164,0.98918,0.98741,0.98376,0.99549,0.99907,0.90718,0.98945,0.98167
21952,0.95869,0.95969,0.96,0.9531,0.92692,0.9728,0.97017,0.91678,0.97095,0.95641,0.99307,0.90074,0.9956,0.96965
47852,0.98898,0.9845,0.98942,0.9709,0.93006,0.98128,0.98898,0.97844,0.93572,0.96657,0.98269,0.95907,0.99723,0.97537
41341,0.99892,0.99837,0.99754,0.99956,0.99622,0.99736,0.99636,0.99957,0.99507,0.9985,0.97,0.96333,0.89029,0.97369
24223,0.99526,0.99864,0.99987,0.98953,0.99472,0.99717,0.99838,0.98853,0.98304,0.98157,0.99879,0.96365,0.98643,0.96027
28815,0.99935,0.99789,0.99816,0.99111,0.99968,0.99907,0.99716,0.99946,0.99818,0.99967,1,0.9975,0.99958,0.97115
48443,0.97551,0.99455,0.94107,0.91245,0.91536,0.96341,0.93801,0.98272,0.93733,0.99516,0.94945,0.9214,0.99381,0.90005
37670,0.99984,0.99969,0.99963,0.99942,0.99972,0.99992,0.99972,0.99958,0.99993,0.99957,1,1,0.99989,0.98687
11269,0.98787,0.97975,0.98351,0.93085,0.96066,0.9858,0.99482,0.98707,0.98025,0.97567,0.97217,0.90544,0.99571,0.96156
9665,0.99895,0.99912,0.9976,0.99839,0.99844,0.99931,1,0.99607,0.99563,0.99824,0.99778,0.99979,0.99984,0.97364
36975,0.98089,0.95861,0.95775,0.98188,0.93677,0.95511,0.93472,0.9321,0.82719,0.99996,0.9177,0.87765,0.96979,0.90085
28515,0.9993,0.99803,0.99892,0.99567,0.99975,0.99826,0.99853,0.99861,0.99562,0.99994,0.99971,0.99982,0.9991,0.98945
40864,0.99776,0.9986,0.99724,0.99144,0.99475,0.99931,0.99618,0.99555,0.99722,0.99599,0.99977,0.96,0.99575,0.98817
27150,0.99923,0.99887,0.99907,0.99869,0.9998,0.99815,0.99791,0.99742,0.99653,0.99925,1,1,0.99929,0.9963
14753,0.92322,0.90511,0.98625,0.9234,0.93975,0.94739,0.92167,0.92742,0.98697,0.98676,0.96799,0.94339,0.9955,0.90424
43713,0.93996,0.96309,0.99082,0.92708,0.94779,0.98884,0.98026,0.95042,0.89611,0.99304,0.97517,0.94927,0.78011,0.94216
47124,0.89519,0.93983,0.94544,0.84038,0.91997,0.93972,0.91718,0.9792,0.96488,0.8681,0.9734,0.90452,0.91689,0.97321
19905,0.99787,0.99488,0.99611,0.99836,0.99745,0.99619,0.99467,0.99512,0.98586,0.99501,1,0.99778,0.99299,0.98272
20625,0.99277,0.99568,0.99299,0.99869,0.98151,0.99796,0.99751,0.9987,0.98967,0.99973,1,0.92,0.99293,0.93628
19420,0.99951,0.9994,0.99912,0.9989,0.99975,0.9998,0.99828,0.99932,0.99978,0.99837,1,0.99978,0.99978,0.98459
45474,0.9555,0.95859,0.97321,0.95074,0.90187,0.95496,0.92958,0.96996,0.95089,0.98951,0.99387,0.96884,0.97192,0.95465
5105,0.99959,0.99828,0.99977,0.99634,0.99963,0.99997,0.99809,0.99991,0.98619,0.99972,1,1,0.98547,0.96554
30786,0.996,0.99119,0.99509,0.98381,0.99258,0.9909,0.98913,0.99518,0.9808,0.99145,0.99749,0.9874,0.99611,0.98297
39754,0.99995,0.9992,0.99853,0.99975,0.99843,0.99581,0.99901,0.99892,0.99865,0.99876,1,0.98844,0.96835,0.91675
43611,0.99362,0.98964,0.99088,0.96948,0.98527,0.98091,0.95649,0.99295,0.96639,0.99876,0.98,0.98,0.96683,0.94768
3567,0.99717,0.99591,0.99819,0.99633,0.99747,0.99553,0.99529,0.9959,0.99973,0.9968,1,0.99882,0.99791,0.989
28029,0.9917,0.99076,0.99352,0.98899,0.99201,0.99023,0.99467,0.98816,0.99111,0.9837,0.98639,0.96469,0.98663,0.97056
37430,0.99982,0.99966,0.99938,0.9992,0.99938,0.99966,0.99941,0.99893,0.99874,0.99937,1,1,0.99971,0.99309
40327,0.99974,0.99858,0.99586,0.99759,0.99777,0.99816,0.99637,0.99946,0.987,0.9982,0.99977,0.98,0.99997,0.99762
11271,0.99193,0.99343,0.98832,0.99731,0.96128,0.99573,0.99065,0.9917,0.98303,0.98922,1,0.97504,0.99391,0.92302
45316,0.98285,0.98417,0.98213,0.99175,0.96847,0.98224,0.98675,0.98717,0.9766,0.98038,0.97908,0.99258,0.96118,0.89959
33501,0.98415,0.97514,0.97745,0.98245,0.99679,0.98553,0.97857,0.9706,0.97773,0.87913,0.9807,0.96827,0.94854,0.95245
26263,0.97296,0.94953,0.89987,0.9655,0.94699,0.9446,0.92928,0.99992,0.97988,0.9648,0.9819,0.93333,0.88547,0.90277
26646,0.94289,0.93653,0.98739,0.90329,0.92741,0.95674,0.93205,0.94768,0.9614,0.91998,0.97,0.9475,0.97537,0.93078
27973,0.9912,0.98815,0.99068,0.9915,0.97934,0.99202,0.99293,0.99058,0.97514,0.98239,0.96108,0.97808,0.99899,0.95855
1678,0.99691,0.99534,0.98519,0.98708,0.97139,0.99753,0.99574,0.99514,0.99886,0.9969,0.9969,0.99557,0.99972,0.96283
926,0.9963,0.99037,0.99901,0.98006,0.97417,0.99779,0.99825,0.99979,0.9586,0.99824,0.98,0.99429,0.93903,0.91651
33388,0.98947,0.94883,0.97501,0.97757,0.96508,0.99021,0.94254,0.97667,0.97587,0.97361,0.9895,0.91136,0.97463,0.91787
30658,0.99964,0.99987,0.99959,0.99921,0.99974,0.9999,0.9994,0.99955,0.99959,0.99982,1,1,0.99973,0.98842
5262,0.97774,0.97399,0.98095,0.98796,0.84466,0.97995,0.95226,0.94663,0.99309,0.98783,0.98667,0.958,0.95845,0.92443
38659,0.99836,0.99623,0.99201,0.99134,0.99178,0.99086,0.99893,0.99977,0.97771,0.9976,0.9736,0.99,0.987,0.99128
26714,0.99978,0.99832,0.99837,0.99913,0.99914,0.99815,0.99662,0.9945,0.99867,0.99942,0.99635,1,0.99823,0.98647
42650,0.98391,0.99217,0.97161,0.97122,0.98534,0.98541,0.98673,0.99365,0.97164,0.94054,1,0.88784,0.96423,0.99285
25371,0.99811,0.99827,0.99909,0.9962,0.99997,0.99756,0.9975,0.99818,0.9992,0.99646,0.99993,0.99868,0.99946,0.99715
2511,0.97488,0.95947,0.92801,0.91628,0.99378,0.97141,0.99244,0.98951,0.98371,0.99324,0.96868,0.92851,0.97104,0.93368
14465,0.99852,0.99645,0.9944,0.99602,0.99772,0.99211,0.99442,0.99256,0.99198,0.99851,1,1,0.99683,0.98823
18042,0.9712,0.97799,0.95972,0.94879,0.9483,0.96614,0.96611,0.98526,0.9932,0.90994,0.96061,0.95504,0.98909,0.91652
14982,0.99753,0.99302,0.99661,0.99804,0.99621,0.99253,0.99189,0.9988,0.9874,0.99297,1,0.96623,0.96729,0.91727
6376,0.96544,0.97256,0.97625,0.97258,0.97736,0.94544,0.93863,0.97815,0.90588,0.98618,0.98471,0.97853,0.95436,0.92556
20951,0.99947,0.99867,0.99764,0.99867,0.99413,0.99798,0.99732,0.99854,0.9993,0.99862,1,1,0.93596,0.91905
16795,0.99193,0.98865,0.99687,0.98685,0.97546,0.99201,0.99324,0.99708,0.99469,0.99453,0.98,1,0.99008,0.94417
47709,0.99999,0.99981,0.99988,0.9991,0.99998,0.99993,0.99961,0.99988,0.99938,0.99969,1,1,0.99994,0.97992
20616,0.96049,0.96247,0.98651,0.97048,0.83414,0.94413,0.99751,0.99406,0.94356,0.93974,0.97285,0.94378,0.95044,0.92553
